file_name,Hypoxic_Mean_DO1,Hypoxic_Mean_DO,Event_Count,latitude,longitude,lc5_point,lc5_name,lc5_dom_2km,lc5_dom_name_2km,p_natural_2km,p_urban_2km,p_other_2km,p_crop_2km,p_wetland_2km,human_share,human_impacted,landuse_group
1191000,2.536098131,0.463901869,214,41.78443889,-72.7080556,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
12507573,2.8625,0.1375,2,46.2852222,-120.0919944,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
1302020,2.023305085,0.976694915,59,40.86230556,-73.87438889,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
135749950,2.808928571,0.191071429,14,42.78569444,-73.7104167,3,Urban,1,Natural vegetation,0.5,0.5,0,0,0,0.5,TRUE,Urban-dominated
1363121256010_,1.5775,1.4225,40,38.7736,139.8489,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
1402000,2.807377049,0.192622951,61,40.475,-74.5758333,2,Cropland,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
14078260,2.444642857,0.555357143,14,44.062,-120.0433056,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
14151000,2.2,0.8,1,43.94429299,-122.774794,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
14202650,1.604854625,1.395145375,6638,45.44064167,-123.125,2,Cropland,2,Cropland,0.25,0,0,0.75,0,0.75,TRUE,Ag-dominated
14206950,2.2425,0.7575,180,45.403452,-122.7548185,3,Urban,3,Urban,0.25,0.75,0,0,0,0.75,TRUE,Urban-dominated
1465798,2.425,0.575,2,40.0569557,-74.9851603,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
1467087,2.045703125,0.954296875,64,40.0159454,-75.0968411,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
1473900,2.241666667,0.758333333,39,40.1239987,-75.2198992,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
1475548,2.574872774,0.425127226,131,39.9327861,-75.2376361,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
1477050,2.83125,0.16875,4,39.83677934,-75.36630199,5,Other,5,Other,0,0,1,0,0,0,FALSE,Mixed
1484272,2.605045446,0.394954554,1797,38.791,-75.25077778,1,Natural vegetation,2,Cropland,0.25,0,0,0.5,0.25,0.5,TRUE,Ag-dominated
1484525,2.291295117,0.708704883,314,38.59455556,-75.29102778,3,Urban,1,Natural vegetation,0.5,0,0.5,0,0,0,FALSE,Natural-dominated
1552046,0.175481761,2.824518239,540,53.77701,-1.505282,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
1552048,0.815897734,2.184102266,2414,53.75148,-1.42369,3,Urban,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
1574000,2.904166667,0.095833333,6,40.0809008,-76.7180813,2,Cropland,2,Cropland,0,0,0.25,0.75,0,0.75,TRUE,Ag-dominated
1584376,0.887289833,2.112710167,1686,53.99151,-1.13211,2,Cropland,2,Cropland,0,0.5,0,0.5,0,1,TRUE,Urban-dominated
1611500,2.233333333,0.766666667,3,39.5823158,-78.3097312,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
1645704,3,0,1,38.88469518,-77.3324293,1,Natural vegetation,1,Natural vegetation,0.5,0.5,0,0,0,0.5,TRUE,Urban-dominated
164579522,2.719927536,0.280072464,23,38.9256,-77.32933889,3,Urban,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
1646000,1.8375,1.1625,4,38.97594346,-77.24581439,1,Natural vegetation,1,Natural vegetation,0.75,0.25,0,0,0,0.25,FALSE,Natural-dominated
1649500,2.265804598,0.734195402,87,38.96025,-76.9259722,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
1654500,2.525,0.475,14,38.81358508,-77.2364549,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
1656903,2.511918605,0.488081395,86,38.8823899,-77.4319047,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
1670200,2.416727494,0.583272506,137,38.1545801,-77.9502747,1,Natural vegetation,1,Natural vegetation,0.5,0,0,0.5,0,0.5,TRUE,Ag-dominated
204025,2.575234568,0.424765432,324,-30.2528,153.0333,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2079500,2.133334608,0.866665392,13075,36.60319824,-78.2977743,5,Other,1,Natural vegetation,0.5,0,0.5,0,0,0,FALSE,Natural-dominated
2081094,1.702300613,1.297699387,1141,35.81305556,-76.89277778,1,Natural vegetation,1,Natural vegetation,0.5,0,0,0,0.5,0,FALSE,Natural-dominated
2098,2.0976,0.9024,17,40.363954,120.273091,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2100,2.718,0.282,1,30.84969,120.418512,3,Urban,3,Urban,0.25,0.5,0,0.25,0,0.75,TRUE,Urban-dominated
2101726,2.471462546,0.528537454,8655,35.73514055,-79.4230754,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2102,2.329503546,0.670496454,141,41.1889225,122.1876454,3,Urban,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2106,2.31806619,0.68193381,105,30.388179,114.352698,3,Urban,5,Other,0,0.333333333,0.666666667,0,0,0.333333333,TRUE,Mixed
2107,2.16222033,0.83777967,182,34.765515,113.753602,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2108,2.290816239,0.709183761,234,30.402384,120.554155,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2110400,1.649104173,1.350895827,6614,33.953505,-78.71973988,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2110500,2.409906386,0.590093614,4985,33.9126719,-78.7150175,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2110701,1.678548032,1.321451968,26611,33.86100349,-79.0411471,1,Natural vegetation,1,Natural vegetation,0.5,0.25,0,0,0.25,0.25,FALSE,Natural-dominated
2110704,2.471874524,0.528125476,8748,33.8326111,-79.0437222,3,Urban,3,Urban,0,0.5,0,0,0.5,0.5,TRUE,Urban-dominated
2111,2.552,0.448,2,43.628448,126.308376,1,Natural vegetation,1,Natural vegetation,0.5,0,0,0.5,0,0.5,TRUE,Ag-dominated
2113,2.615,0.385,4,27.094325,109.614806,5,Other,1,Natural vegetation,0.5,0,0.5,0,0,0,FALSE,Natural-dominated
2114,1.917333333,1.082666667,6,34.889459,108.989429,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2118,2.289666667,0.710333333,108,45.787555,126.752056,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
212011,0.673694444,2.326305556,72,-33.5343,150.0951,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
212054,0.85209901,2.14790099,202,-33.3971,150.0839,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2121,2.443333333,0.556666667,132,45.552395,133.281365,2,Cropland,2,Cropland,0.25,0,0,0.5,0.25,0.5,TRUE,Ag-dominated
212244,2.297439072,0.702560928,1551,-33.97944444,150.5591667,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
212250,2.731184211,0.268815789,38,-33.87124191,150.2540137,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2122518,1.44346438,1.55653562,1137,-34.73666667,149.6794444,2,Cropland,1,Natural vegetation,0.5,0.5,0,0,0,0.5,TRUE,Urban-dominated
2122520,1.865714724,1.134285276,2282,-34.54592,150.33737,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
212270,0.749131915,2.250868085,235,-34.227667,150.252806,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2122711,1.98435842,1.01564158,8331,-34.7213892,149.7930558,1,Natural vegetation,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2122713,1.247938401,1.752061599,10341,-34.61162,149.88297,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
212274,2.551421053,0.448578947,19,-34.57719481,150.5775536,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2123,0.674,2.326,1,31.620979,119.021234,1,Natural vegetation,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
212378405,2.597355602,0.402644398,479,35.20066667,-80.0618056,5,Other,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2124,2.468261905,0.531738095,84,33.626572,114.680083,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2125,2.257966667,0.742033333,6,23.366544,104.253525,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2126,2.641464286,0.358535714,28,41.149403,121.813325,3,Urban,3,Urban,0,0.666666667,0,0.333333333,0,1,TRUE,Urban-dominated
2127,2.413404255,0.586595745,235,45.90503,126.504213,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
212880025,2.154941003,0.845058997,113,34.9834833,-79.8775806,5,Other,1,Natural vegetation,0.75,0,0.25,0,0,0,FALSE,Natural-dominated
2129,2.225454545,0.774545455,22,33.686867,114.196677,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2129375,2.722222222,0.277777778,6,34.8662583,-79.878925,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2131,2.959,0.041,1,20.009525,110.375224,4,Wetland,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
213211,1.735482048,1.264517952,3398,-34.046561,151.005328,1,Natural vegetation,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2134,2.6016,0.3984,1,34.183074,108.187798,2,Cropland,2,Cropland,0,0.25,0,0.75,0,1,TRUE,Ag-dominated
2135,2.672714286,0.327285714,7,35.909376,119.156486,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2135000,2.785,0.215,5,34.05675,-79.2477222,1,Natural vegetation,1,Natural vegetation,0.75,0,0,0,0.25,0,FALSE,Natural-dominated
2136,0.1982,2.8018,1,38.507579,110.896829,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2138,1.3206,1.6794,5,28.944771,106.741756,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2138520,2.312037037,0.687962963,18,35.74125,-81.8352528,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2142,2.741286667,0.258713333,3,39.918966,119.631456,5,Other,3,Urban,0,0.75,0.25,0,0,0.75,TRUE,Urban-dominated
214244102,2.975,0.025,1,35.75719444,-81.08915,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2144,2.516384615,0.483615385,13,41.879991,120.98351,2,Cropland,1,Natural vegetation,0.5,0,0,0.5,0,0.5,TRUE,Ag-dominated
2145,2.318460097,0.681539903,103,25.958516,100.124072,2,Cropland,5,Other,0.25,0,0.5,0.25,0,0.25,FALSE,Mixed
2145910,2.220614035,0.779385965,133,35.01641944,-81.00156389,1,Natural vegetation,3,Urban,0.25,0.75,0,0,0,0.75,TRUE,Urban-dominated
2146,2.835383333,0.164616667,12,46.934667,133.853376,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2147310,2.497079038,0.502920962,97,34.59805556,-80.8905556,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
21474095,2.360555556,0.639444444,30,34.55801667,-80.8935,1,Natural vegetation,5,Other,0,0,1,0,0,0,FALSE,Mixed
2147505,2.415530303,0.584469697,66,34.5411111,-80.8752778,1,Natural vegetation,5,Other,0,0,1,0,0,0,FALSE,Mixed
2147801,3,0,1,34.3320798,-80.69842699,5,Other,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2148,1.9487375,1.0512625,4,27.840777,102.269485,4,Wetland,1,Natural vegetation,0.666666667,0.333333333,0,0,0,0.333333333,TRUE,Natural-dominated
2149,2.823,0.177,1,31.50139,117.270311,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2151,1.933181818,1.066818182,11,36.276864,116.117321,2,Cropland,2,Cropland,0,0.25,0,0.75,0,1,TRUE,Ag-dominated
215207,4.11E-04,2.999589,3754,-34.81921893,150.1821299,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2152131,1.155699681,1.844300319,313,-34.7345,150.284944,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
215216,0.543875,2.456125,24,-34.83943446,150.4318317,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
215220,2.326645455,0.673354545,110,-34.72798991,150.5224407,1,Natural vegetation,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2152201,1.89153125,1.10846875,32,-34.712767,150.582545,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
215233,2.060077037,0.939922963,675,-34.60520243,150.5191395,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2159,1.842360606,1.157639394,33,34.749162,110.050793,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2164,1.906285714,1.093714286,35,35.004221,118.912242,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2165,2.1692,0.8308,435,24.360423,117.93156,3,Urban,2,Cropland,0,0.25,0.25,0.5,0,0.75,TRUE,Ag-dominated
2167600,2.65,0.35,3,34.09930647,-81.5684382,1,Natural vegetation,1,Natural vegetation,0.75,0,0.25,0,0,0,FALSE,Natural-dominated
2167716,2.598381877,0.401618123,103,34.0795843,-81.5617714,5,Other,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2168504,1.574857752,1.425142248,703,34.0509822,-81.2095418,3,Urban,3,Urban,0.25,0.5,0.25,0,0,0.5,TRUE,Urban-dominated
2169000,2.516176471,0.483823529,51,34.0140416,-81.0878717,3,Urban,3,Urban,0,0.75,0.25,0,0,0.75,TRUE,Urban-dominated
2171,1.754728535,1.245271465,389,34.177411,116.471647,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2171645,2.485590278,0.514409722,48,33.4275,-79.915,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2172,2.7368,0.2632,5,30.000985,121.325079,2,Cropland,2,Cropland,0,0,0.5,0.5,0,0.5,TRUE,Ag-dominated
2172002,2.513928571,0.486071429,210,33.21491667,-79.9749167,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2173,2.403394737,0.596605263,76,27.878331,111.357444,2,Cropland,1,Natural vegetation,0.5,0,0,0.5,0,0.5,TRUE,Ag-dominated
2177,2.7507,0.2493,4,33.352881,115.953353,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2179,0.56,2.44,1,31.87893,120.977622,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2180,2.033,0.967,1,31.391125,113.98047,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2181,1.4475,1.5525,76,45.618322,122.829592,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2182,2.9671,0.0329,1,28.950873,105.359266,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2183,2.645796143,0.354203857,363,31.861184,117.284922,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2184,2.371813953,0.628186047,43,34.879613,117.027314,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2185,2.379817073,0.620182927,82,35.538668,116.84332,2,Cropland,2,Cropland,0,0.5,0,0.5,0,1,TRUE,Urban-dominated
2187,2.617533679,0.382466321,193,24.067389,116.364039,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2188,2.041574919,0.958425081,614,33.731002,120.393063,3,Urban,5,Other,0,0,1,0,0,0,FALSE,Mixed
2189,2.115742857,0.884257143,28,28.675696,115.909228,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2190,2.575882353,0.424117647,17,29.637542,117.303815,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2192,1.965489209,1.034510791,139,34.068636,116.25461,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2193,2.56237,0.43763,1,32.262114,115.392074,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2194,1.142352941,1.857647059,17,30.280827,120.135191,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2195,2.625,0.375,2,30.246073,109.493289,1,Natural vegetation,1,Natural vegetation,0.5,0.25,0,0.25,0,0.5,TRUE,Natural-dominated
2196,2.55169863,0.44830137,73,31.579754,121.798307,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2198,2.5588,0.4412,20,31.193231,121.785769,2,Cropland,3,Urban,0,0.666666667,0.333333333,0,0,0.666666667,TRUE,Urban-dominated
2199,2.127135135,0.872864865,111,31.801399,121.194699,2,Cropland,2,Cropland,0,0,0.5,0.5,0,0.5,TRUE,Ag-dominated
2200,1.762942857,1.237057143,350,31.013867,121.754522,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2201,2.631953846,0.368046154,65,31.535298,121.6762,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2202,2.299763636,0.700236364,110,31.362887,121.745275,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2203,2.888875,0.111125,8,31.023111,121.041476,3,Urban,2,Cropland,0,0.25,0.25,0.5,0,0.75,TRUE,Ag-dominated
2203603,2.65469697,0.34530303,55,33.68388889,-84.4152778,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2203655,2.343548387,0.656451613,31,33.67891667,-84.35813889,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2203800,0.583939394,2.416060606,55,33.6796111,-84.3079444,1,Natural vegetation,3,Urban,0.25,0.75,0,0,0,0.75,TRUE,Urban-dominated
2203873,2.423295455,0.576704545,44,33.70941667,-84.2391667,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2203900,2.709027778,0.290972222,12,33.66577778,-84.224,3,Urban,1,Natural vegetation,0.5,0.5,0,0,0,0.5,TRUE,Urban-dominated
2203950,2.01682243,0.98317757,107,33.7632222,-84.2203611,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2204,2.541,0.459,50,31.1155091,120.9170361,5,Other,5,Other,0,0,1,0,0,0,FALSE,Mixed
2205,2.068551111,0.931448889,225,31.005464,121.12989,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2206,2.198029851,0.801970149,335,30.949895,121.204222,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2207160,2.975,0.025,2,33.77327778,-84.0771667,3,Urban,1,Natural vegetation,0.5,0.5,0,0,0,0.5,TRUE,Urban-dominated
2207385,2.719444444,0.280555556,6,33.81527778,-83.99013889,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2208,2.206194969,0.793805031,159,31.40073,121.423992,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2209,1.863105263,1.136894737,209,30.872458,121.541336,3,Urban,3,Urban,0,0.75,0,0.25,0,1,TRUE,Urban-dominated
2210,2.527977778,0.472022222,135,30.96988,121.312408,5,Other,2,Cropland,0,0.5,0,0.5,0,1,TRUE,Urban-dominated
2211,2.416047059,0.583952941,170,31.276424,121.225288,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2212,1.678096113,1.321903887,265,24.951581,102.691559,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2215,2.525583333,0.474416667,6,23.001322,104.778803,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2222,1.985,1.015,2,39.5163998,106.7539556,5,Other,5,Other,0.25,0.25,0.5,0,0,0.25,FALSE,Mixed
2228,2.687675556,0.312324444,9,40.966814,106.948099,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2231,2.157877551,0.842122449,245,39.93045,115.520692,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
223209,1.629567308,1.370432692,104,-37.7573062,147.8491161,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
223210,1.53722473,1.46277527,1019,-37.73756155,147.7109962,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2239501,2.602185318,0.397814682,8355,29.2149764,-82.0412,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
224203,2.70425,0.29575,12,-37.76358991,147.3747776,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2245,1.512606468,1.487393532,385,39.1393072,117.18897,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2246,1.681194444,1.318805556,36,38.871337,117.424182,3,Urban,3,Urban,0,0.666666667,0,0.333333333,0,1,TRUE,Urban-dominated
224602,1.747038497,1.252961503,2156,-37.84944444,147.6378972,4,Wetland,2,Cropland,0,0.25,0.25,0.25,0.25,0.5,TRUE,Mixed
2252,1.946368159,1.053631841,201,33.4957895,115.4699245,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
225212,2.985,0.015,1,-38.01068638,146.8810046,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
225236,2.238185185,0.761814815,162,-38.00213184,146.7800107,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
225256,2.472183784,0.527816216,185,-38.00396747,146.9815133,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2253,2.2465625,0.7534375,64,33.8752478,116.5802321,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2256,2.396342412,0.603657588,257,33.2640607,115.3390767,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2257,2.107514545,0.892485455,44,32.6439828,116.9074973,2,Cropland,2,Cropland,0,0,0.5,0.5,0,0.5,TRUE,Ag-dominated
2258,2.277667845,0.722332155,283,32.9527884,117.2710932,5,Other,2,Cropland,0,0.5,0,0.5,0,1,TRUE,Urban-dominated
2259,2.08,0.92,30,33.814464,116.855937,2,Cropland,2,Cropland,0,0.25,0,0.75,0,1,TRUE,Ag-dominated
226027,1.967127119,1.032872881,118,-38.14491292,147.127818,2,Cropland,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2262,2.736041538,0.263958462,13,31.647649,117.811618,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2263,1.925,1.075,58,32.724409,119.0894,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2264,1.927232558,1.072767442,473,35.071916,118.229582,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2264000,2.101303895,0.898696105,45722,28.39056323,-81.5195173,1,Natural vegetation,1,Natural vegetation,0.666666667,0.333333333,0,0,0,0.333333333,TRUE,Natural-dominated
2264051,2.385703463,0.614296537,770,28.37444444,-81.515,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2264100,1.646474751,1.353525249,14720,28.32528785,-81.5206284,3,Urban,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
226415,2.117518072,0.882481928,249,-38.2698709,146.5404981,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2266,1.842295455,1.157704545,220,37.280543,118.730288,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
226614,1.715184788,1.284815212,2143,-38.12684167,147.0755,1,Natural vegetation,1,Natural vegetation,0.5,0.25,0,0.25,0,0.5,TRUE,Natural-dominated
2266200,1.567852,1.432148,91444,28.38500749,-81.6164632,4,Wetland,1,Natural vegetation,0.75,0.25,0,0,0,0.25,FALSE,Natural-dominated
2266291,1.272998801,1.727001199,20850,28.42702778,-81.6052778,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2266300,2.001833254,0.998166746,2091,28.33278738,-81.579796,1,Natural vegetation,3,Urban,0,0.75,0,0,0.25,0.75,TRUE,Urban-dominated
2266495,1.586061922,1.413938078,49638,28.27584517,-81.5439622,4,Wetland,4,Wetland,0,0,0,0,1,0,FALSE,Mixed
2267,2.316728155,0.683271845,103,35.337055,116.619434,2,Cropland,2,Cropland,0,0.25,0.25,0.5,0,0.75,TRUE,Ag-dominated
