gauge_id,mean_duration,UPLAND_SKM,ORD_STRA,ele_mt_cav,slp_dg_uav,tmp_dc_uyr,pre_mm_uyr,ari_ix_uav,wet_pc_ug2,for_pc_use,crp_pc_use,urb_pc_use,ppd_pk_uav,rdd_mk_uav,hdi_ix_cav,DO_P25,WT_median,WT_mean,WT_p75,Q_median,Q_p25,daylength_median,daylength_p75,solar_median,solar_p75
4165500,5.5,1881,5,182,7,89,789,83,9,13,20,52,660.563,5570,944,7.2,12,12.20704585,20.2,9.491407394,3.703261495,12.21805556,14.26208333,12.41,19.975
4166500,2.333333333,928.8,3,191,10,89,789,83,20,18,1,77,767.636,7535,944,6.7,12.225,11.87195118,19.525,2.135614157,0.344144166,12.405,14.39833333,13.14,20.42
4168400,6.615384615,294.2,3,196,6,93,795,83,0,6,5,70,872.048,7349,944,6.775,17.275,15.39717068,20.66666667,0.842227757,0.136866797,13.89708333,14.88131944,17.645,22.6575
425003,22.76470588,391770.4,8,108,15,185,588,38,0,18,11,0,1.497,126,954,1.2805,25.6065,22.88799949,28.688,20.10840225,17.61429405,14.06388889,14.0825,32.41,33.58
45301,10.19047619,4.4,1,68,20,113,996,101,0,3,14,100,1884.314,6398,928,5.15,13.35,13.73619247,19,0.543343067,0.066769771,12.405,14.6125,11.88,20.255
50048565,9.076923077,7.9,1,31,17,255,1810,122,0,0,4,100,2397.282,20341,832,6.725,27.2,27.12043301,27.975,0.956493676,0.195116475,12.09888889,12.85611111,19.22,22.19
50048580,10.99550898,7.9,1,31,17,255,1810,122,0,0,4,100,2397.282,20341,832,1.85,28.05,27.99717268,28.775,0.586165845,0.158434376,12.20305556,12.9025,19.27,22.49
5054000,3.5,17403.3,5,275,5,53,560,62,31,23,72,1,12.771,246,941,7.55,9.725,10.85102058,21.25,26.11011219,12.83171749,12.19347222,14.68104167,13,20.4725
5537980,10.65,2199.7,4,191,7,90,905,95,0,22,13,70,963.678,7212,950,7.3,14.225,14.85134348,22.875,0.964631259,0.462575316,12.04055556,14.13444444,11.69,19.9
613,15.20338983,20193.4,6,370,55,73,921,128,0,41,25,7,156.617,1432,955,9.375,11.3,11.34985391,16.8,289.8878784,208.1481628,12.175,14.79722222,9.98,17.63
6711565,6.181818182,8804.2,5,1626,86,28,468,54,6,75,4,5,68.449,581,951,7.575,11.25,11.61894562,18.05,7.304889679,3.857283235,12.07166667,13.94152778,16.57,21.86
6818000,7.571428571,1059606,8,266,32,65,447,45,9,13,32,0,7.464,125,906,7,16.575,15.75931293,24.55,1741.299316,998.7641296,12.90833333,14.33430556,16.04,22.955
6892518,2,154796.8,7,265,11,109,615,52,1,2,61,0,7.391,155,934,7.8,17.25,16.61104209,25.5,131.9004211,64.19920349,12.14472222,13.88722222,14.22,21.62
6893620,7.2,24.7,1,284,22,125,971,87,0,0,8,99,1103.324,10117,906,6.6,13.72916667,13.51050347,21.05,0.860939115,0.234844223,12.34305556,14.07395833,15.005,22.2575
7164500,1.333333333,187152.1,6,215,19,117,551,44,3,12,44,1,13.473,197,809,7.5,17,16.92134856,24.95,123.085968,57.20121002,11.95083333,13.80861111,15.62,22.765
7178200,2,2934.2,4,201,20,150,969,74,0,16,11,8,89.437,1092,809,7.375,18.8,18.15593068,25.55,8.722118378,2.876961231,11.84777778,13.47111111,13.85,21.1
7241000,11.68292683,35351.2,5,393,8,135,504,37,9,1,47,0,4.857,133,809,7.25,17.1,16.67228163,25,5.387342215,2.300226152,12.02263889,13.67520833,15.86,22.635
8048000,5.176,1343,4,196,15,180,832,58,0,6,24,12,185.08,1764,908,7,21.675,20.93596166,28.075,14.32575703,5.47097826,12.24416667,13.70361111,17.26,23.84
8049500,4.8,7934.7,5,149,14,179,823,57,0,10,23,16,201.073,1761,908,7.225,22.15,21.95813842,28.225,10.49686241,4.237555265,12.12791667,13.57611111,17.095,23.48
8052745,7.461538462,112.7,2,172,6,178,980,70,9,0,41,6,105.06,1910,908,7.025,20.4,19.61332784,26.125,0.382197082,0.075454487,12.31513889,13.78104167,17.305,23.7275
8057000,6.25,15804.5,6,138,12,179,870,61,0,8,27,19,234.667,2052,908,7.3,21.4,21.38226687,27.175,41.59868622,19.35059786,11.78513889,13.38305556,15.265,22.1025
8057410,5,16230.1,6,128,12,179,872,62,0,8,26,21,273.371,2291,908,6.75,21.8,21.7430318,27.9,48.54483414,21.05600548,12.36861111,13.68361111,17.29,23.41
8068000,6.166666667,2162.5,4,53,12,196,1132,77,0,71,12,4,65.178,612,908,6.825,22.74166667,22.27565964,27.7,6.306919098,2.928957582,12.23694444,13.49986111,17.07,22.9
8069500,5.537688442,4628,5,27,8,198,1139,78,0,65,14,18,200.355,1609,908,6.7,23.6,22.9697112,29,13.61367702,6.617686391,12.18444444,13.47694444,17.17,23.08
A4260703,23.57142857,759427.8,9,40,18,175,570,40,4,18,13,0,2.587,133,950,7.872026741,18.99083333,18.53294876,22.8396875,298.4831238,227.41436,12.01333333,13.53319444,17.82,25.71
Caversham,13.75,26.1,1,109,19,96,712,102,0,3,42,15,520.136,2959,941,7.1,11.6,11.53457006,13,25.44855309,15.76743507,12.43083333,15.27361111,9.33,16.355
PL15,21.92753623,237.7,2,97,28,93,706,104,0,0,70,1,64.979,685,941,8.981426171,11.625,11.46552819,14.2,1.687816978,1.008866787,12.64972222,15.23861111,10.08,16.1
Thames_Taplow,2,6874.6,5,43,20,95,678,99,0,0,56,13,323.264,1384,941,10.49,10.0225,9.922755944,13.188125,39.21899796,28.62918186,12.75888889,15.36263889,9.9,17.25
