gauge_id,mean_duration,UPLAND_SKM,ORD_STRA,ele_mt_cav,slp_dg_uav,tmp_dc_uyr,pre_mm_uyr,ari_ix_uav,wet_pc_ug2,for_pc_use,crp_pc_use,urb_pc_use,ppd_pk_uav,rdd_mk_uav,hdi_ix_cav,DO_P25,WT_median,WT_mean,WT_p75,Q_median,Q_p25,daylength_median,daylength_p75,solar_median,solar_p75
8070200,4.461538462,1022.7,3,36,11,192,1216,83,0,98,8,1,26.13,297,908,6.8,21.2,20.75649803,26.6,3.663623095,1.402723312,12.14444444,13.47277778,17.1,22.98
8181500,1,3335,4,160,32,196,730,48,0,58,15,10,164.53,1065,908,6.65,24.225,23.83571398,28.275,2.885340571,1.150067121,12.17319444,13.41597222,17.895,23.8275
8374200,9.225,175200.3,7,819,56,126,388,30,2,28,5,1,29.187,305,892,7.3,20.36666667,20.42687971,26.3,97.91249847,66.93392181,11.81611111,13.25194444,20.07,25.82
8374510,10.59375,185887.9,7,758,56,129,384,29,1,27,5,1,27.525,294,815,6.9,19.375,19.43161199,25.1,135.1641235,80.9867115,11.78847222,13.10069444,19.54,25.43
8375300,9.014492754,196974.7,7,619,55,133,377,29,1,25,4,1,25.985,285,908,6.3,25.225,24.406442,29.15,125.8488693,76.41338921,11.91375,13.27,19.48,25.2125
8377200,6.96,219103.3,7,446,55,138,374,28,1,23,4,1,23.371,264,907,7.1,22.85,21.91668967,27.325,134.3122787,80.38669586,12.07111111,13.34777778,18.85,24.8675
8412500,6.47008547,56661.5,6,840,29,135,353,25,1,18,2,0,3.136,87,908,6.7,16.9,17.34693189,24.225,12.60346842,9.287875891,11.83305556,13.331875,18.235,25.6675
8437710,8.433753943,76652,6,753,26,145,344,24,2,16,2,0,2.619,83,908,5.1,20.55,19.53424831,25.7,14.44611645,9.088606834,12.18083333,13.51708333,20.66,26.125
8446500,6.7,85598.7,6,705,25,148,345,24,2,15,2,0,2.671,86,908,4.75,20.5125,19.70318788,26.175,13.8647604,8.689651489,12.14833333,13.50805556,20.03,26.13
8447000,4.2,92094.3,6,664,25,151,347,24,2,14,2,0,2.535,86,908,6.925,21.9,20.9251242,27,15.82548714,10.51415634,12.27083333,13.55625,19.37,25.46
9041400,12.5,723.1,3,2422,75,20,468,53,7,71,10,0,0.423,81,951,8.3,7.075,7.212128092,10.225,2.117474556,0.626070261,12.18138889,14.10111111,16.31,22.93
9406000,7,2439.3,4,1101,119,88,410,35,0,57,3,0,0.905,102,925,8.05,12.85,13.87070595,20.125,2.449432731,1.505838394,12.1675,13.88111111,19.38,25.9575
A2391081,23.53488372,213.9,3,26,10,150,550,45,1,10,9,0,0.143,127,950,11.98833333,4.694097581,8.11747539,14.70179888,0.007646358,0.001395319,11.54083333,13.41881944,13.95,22.0975
A2391140,19,1293.3,3,27,8,149,573,46,0,1,14,0,0.5,155,950,12.62360719,15.76416667,17.07322126,19.9184375,0.100860387,0.052648223,12.01430556,12.76236111,12.79,15.07
A2391152,7.409090909,19.2,1,21,9,152,516,42,0,18,6,0,0.128,45,950,8.119479167,15.02041666,15.84450085,19.17270833,0.011949816,0.005356894,11.81166667,13.71375,15.145,23.7625
A4260644,21.6,121.2,1,43,6,171,268,18,8,0,85,0,0.693,139,950,10.135,13.18379293,15.05636967,18.57940677,0.172391251,0.112602517,10.35833333,11.17194444,11.23,13.92
A4261022,20.09090909,758540.8,9,34,18,175,570,40,4,18,13,0,2.59,133,950,8.223333333,18.95818479,18.72662798,23.7209375,305.5174561,237.7554016,11.92638889,13.51277778,18.23,26.41
A4261023,22.09090909,759706,9,21,18,175,570,40,4,18,13,0,2.598,133,950,8.380416667,18.80284455,18.29762999,22.73679701,305.7113647,232.4299164,11.89694444,13.43916667,17.11,25.53
A4261107,15.42105263,33.5,1,42,7,173,256,17,54,0,0,0,0.008,133,950,10.2603125,12.011875,13.02696907,13.18125,0.022222476,0.011654756,10.33180556,10.88798611,11.63,14.28
A4261108,17.96969697,62,1,28,8,170,259,18,84,4,12,0,14.036,268,950,8.220833333,17.91382098,18.24159822,22.8975,303.2791138,232.9969101,12.03777778,13.60604167,17.855,26.2925
A4261168,23.63636364,759142.8,9,25,18,175,570,40,4,18,13,0,2.588,133,950,8.487406855,18.07126376,18.39870248,23.38833333,307.5340576,239.8147316,12.09986111,13.58472222,18.025,26.0975
A4261224,14.25,34.4,1,33,6,173,255,17,94,0,0,0,0.008,95,950,8.171968107,19.89717085,19.39016713,24.05798183,0.016186841,0.005923134,12.40486111,13.78875,19.97,27.3
A4261255,22.125,62,1,28,8,170,259,18,84,4,12,0,14.036,268,950,10.41546604,13.84645834,15.33252665,18.55072917,6.69E-05,2.76E-06,10.47944444,11.70208333,11.35,17.875
A4261263,18.2,760403.6,9,31,18,175,569,40,4,18,13,0,2.61,133,950,8.374166667,18.82082624,18.6935854,23.49848849,308.1901855,231.5677643,11.91416667,13.55944444,17.16,25.68
A4261264,9.268656716,62,1,28,8,170,259,18,84,4,12,0,14.036,268,950,3.424270834,16.00729167,16.42242783,19.66052083,7.02E-05,4.31E-06,11.20083333,12.51305556,14.09,20.86
A4261265,23.82038835,760023.6,9,30,18,175,570,40,4,18,13,0,2.603,133,950,2.107239279,19.77514515,19.71683661,20.00853468,309.4271393,220.7429657,11.91013889,13.68340278,17.025,25.92
Charpassonne la Valette,10.75,54.6,1,629,80,92,821,100,0,12,7,0,67.597,1121,930,7.471875,14.2475,14.08357704,17.62125,0.084226452,0.013693215,12.27472222,14.29041667,14.4,22.075
Charpassonne Moulin de Ronzy,1.625,54.6,1,629,80,92,821,100,0,12,7,0,67.597,1121,930,7.415,13.1975,13.0654468,16.1975,0.084226452,0.013693215,12.275,14.29194444,14.4,22.075
FP01,20.39892665,31.3,1,54,18,101,775,109,0,39,20,9,62.48,1232,921,0.120257215,11.075,11.40229981,13.45,0.532357633,0.237039968,12.33305556,15.04069444,9.91,18.385
FP02,22.77777778,381.5,3,43,36,94,840,126,0,0,44,4,106.288,706,916,10.76833238,6.95,7.209574265,9.3,4.463974237,2.816004455,9.876944444,11.47388889,4.94,9.0575
FP11,23.8880597,402.3,3,29,36,94,839,126,0,1,43,4,103.918,712,916,0.030851823,8.2,7.398829952,10.15,3.364484072,1.671880841,10.85694444,13.60958333,6.74,14.165
FP21,23.87037037,185.2,3,26,36,94,828,123,0,1,49,1,54.523,501,916,0.020636315,9.1,9.705548942,12.1,2.260863066,1.189840347,10.89236111,13.55138889,6.935,14.515
FP26,20.96195652,25.8,1,168,60,90,867,132,0,0,53,0,22.05,678,916,0.15727434,10.4,10.56530456,12.85,0.416028291,0.210418731,12.06472222,14.96527778,9.35,17.22
Loise Essertine en Donzy,13.33333333,41.5,2,522,68,94,814,97,0,0,7,0,70.675,942,930,5.774375,13.09,12.69886752,15.625,0.031999901,0.005990588,12.22166667,14.62555556,14.58,21.93
Mare Pont du diable,19.07142857,115.9,2,463,68,87,779,96,0,44,31,7,64.281,804,930,8.4475,14.675,14.50609468,17.035,0.33668156,0.134737931,12.29944444,14.21076389,14.675,20.5825
TE03,24,23.7,1,133,28,88,754,120,0,2,25,0,29.571,512,894,10.41015087,6.96,6.970682176,8.90125,0.298610687,0.157550491,9.4025,11.83340278,4.085,8.6
TE16,23.61052632,42.9,1,135,22,88,772,123,0,0,17,0,47.147,937,894,10.32096694,7.535,8.057468849,10.055,0.243691564,0.074111549,9.589305556,12.10111111,4.165,9.065
Toranche St Cyr les Vignes,12.30769231,89.7,2,405,41,100,778,90,0,1,29,0,55.457,975,930,6.855,14.4275,14.29853435,17.535,0.11618831,0.02381334,12.27416667,14.28291667,14.4,22.075
Trout Beck_ Calgaith,2,30.2,2,212,129,72,1230,212,9,2,3,6,40.202,359,901,10.49,10.0225,9.922755944,13.188125,8.570665359,4.371571779,12.83416667,15.75277778,8.81,15.195
