file_name,n_events,start_median_shift,end_median_shift,start_median_hour,end_median_hour,start_median_time,end_median_time,latitude,longitude,lc5_point,lc5_name,lc5_dom_2km,lc5_dom_name_2km,p_natural_2km,p_urban_2km,p_other_2km,p_crop_2km,p_wetland_2km,human_share,human_impacted,landuse_group
6328,13,18,32,18,8,18:00:00,08:00:00,31.955,119.9805,3,Urban,3,Urban,0,0.75,0.25,0,0,0.75,TRUE,Urban-dominated
6330,1,16,16,16,16,16:00:00,16:00:00,26.6586,106.8425,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
6346,35,28,32,4,8,04:00:00,08:00:00,38.6862,117.047,2,Cropland,2,Cropland,0,0.25,0,0.75,0,1,TRUE,Ag-dominated
6348,1,12,12,12,12,12:00:00,12:00:00,36.1678,103.483,3,Urban,1,Natural vegetation,0.75,0.25,0,0,0,0.25,FALSE,Natural-dominated
6350,58,20,32,20,8,20:00:00,08:00:00,31.6554,117.2733,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
6353,8,16,18,16,18,16:00:00,18:00:00,49.3061,118.0472,1,Natural vegetation,1,Natural vegetation,0.5,0.5,0,0,0,0.5,TRUE,Urban-dominated
6354890,56,28,32,4,8,04:00:00,08:00:00,45.9524438,-103.3069613,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
6354980,122,27,32,3,8,03:00:00,08:00:00,46.0177216,-103.2919615,1,Natural vegetation,1,Natural vegetation,0.5,0,0,0.5,0,0.5,TRUE,Ag-dominated
6355,1,16,16,16,16,16:00:00,16:00:00,28.6074,121.0616,5,Other,1,Natural vegetation,0.5,0,0.5,0,0,0,FALSE,Natural-dominated
6365,15,28,28,4,4,04:00:00,04:00:00,40.2585,111.148,1,Natural vegetation,1,Natural vegetation,0.5,0.5,0,0,0,0.5,TRUE,Urban-dominated
6373,2,20,20,20,20,20:00:00,20:00:00,44.3966,127.692,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
6382,40,20,20,20,20,20:00:00,20:00:00,28.6919,121.3277,5,Other,5,Other,0,0,0.6666666666666666,0.3333333333333333,0,0.3333333333333333,TRUE,Mixed
6384,3,20,32,20,8,20:00:00,08:00:00,31.2695,118.3338,3,Urban,3,Urban,0,0.5,0,0.25,0.25,0.75,TRUE,Urban-dominated
6387,6,28,16,4,16,04:00:00,16:00:00,30.7703,117.7527,5,Other,5,Other,0,0,1,0,0,0,FALSE,Mixed
6389,1,16,16,16,16,16:00:00,16:00:00,31.1034,118.9031,5,Other,5,Other,0.25,0,0.75,0,0,0,FALSE,Mixed
6395,6,20,32,20,8,20:00:00,08:00:00,36.2594,120.4698,5,Other,3,Urban,0.25,0.5,0.25,0,0,0.5,TRUE,Urban-dominated
6396,52,28,28,4,4,04:00:00,04:00:00,35.0878,116.6297,2,Cropland,4,Wetland,0,0,0,0,1,0,FALSE,Mixed
6398,8,28,32,4,8,04:00:00,08:00:00,35.0394,116.6677,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
6400,7,20,26,20,2,20:00:00,02:00:00,35.8937,116.5525,5,Other,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
6419,22,28,20,4,20,04:00:00,20:00:00,30.6003,115.4457,1,Natural vegetation,1,Natural vegetation,0.5,0,0,0.5,0,0.5,TRUE,Ag-dominated
6425,187,18,28,18,4,18:00:00,04:00:00,22.5077,114.0357,4,Wetland,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
6426,5,24,28,0,4,00:00:00,04:00:00,21.4314,110.7946,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
6430,75,20,20,20,20,20:00:00,20:00:00,23.0588,113.7525,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
6442,46,20,20,20,20,20:00:00,20:00:00,29.2443,104.2998,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
6448,67,20,32,20,8,20:00:00,08:00:00,25.0115,102.6694,3,Urban,3,Urban,0,0.5,0,0,0.5,0.5,TRUE,Urban-dominated
6486,3,28,22,4,22,04:00:00,22:00:00,21.3002,110.3065,2,Cropland,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
6489,2,14,14,14,14,14:00:00,14:00:00,40.8675,108.7942,5,Other,5,Other,0,0,1,0,0,0,FALSE,Mixed
