file_name,total_days,days_with_DO_below_3,n_events,days_11am_DO_below_3,per,latitude,longitude,lc5_point,lc5_name,lc5_dom_2km,lc5_dom_name_2km,p_urban_2km,p_crop_2km,p_other_2km,p_wetland_2km,p_natural_2km,human_share,human_impacted,landuse_group
1654500,3716,3,0.08073197,0,100,38.81358508,-77.2364549,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
1656903,4357,21,0.481983016,0,100,38.8823899,-77.4319047,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
1670200,504,9,1.785714286,4,55.55555556,38.1545801,-77.9502747,1,Natural vegetation,1,Natural vegetation,0,0.5,0,0,0.5,0.5,TRUE,Ag-dominated
204025,140,22,15.71428571,11,50,-30.2528,153.0333,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
2079500,5671,1167,20.57838124,331,71.63667524,36.60319824,-78.2977743,5,Other,1,Natural vegetation,0,0,0.5,0,0.5,0,FALSE,Natural-dominated
2081094,6128,56,0.91383812,47,16.07142857,35.81305556,-76.89277778,1,Natural vegetation,1,Natural vegetation,0,0,0,0.5,0.5,0,FALSE,Natural-dominated
2098,537,6,1.117318436,2,66.66666667,40.363954,120.273091,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
2100,778,1,0.128534704,1,0,30.84969,120.418512,3,Urban,3,Urban,0.5,0.25,0,0,0.25,0.75,TRUE,Urban-dominated
2101726,5398,585,10.83734717,112,80.85470085,35.73514055,-79.4230754,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
2102,668,37,5.538922156,20,45.94594595,41.1889225,122.1876454,3,Urban,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
2106,695,44,6.330935252,18,59.09090909,30.388179,114.352698,3,Urban,5,Other,0.333333333,0,0.666666667,0,0,0.333333333,TRUE,Mixed
2107,703,57,8.108108108,18,68.42105263,34.765515,113.753602,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
2108,800,64,8,20,68.75,30.402384,120.554155,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
2110400,5927,585,9.870086047,237,59.48717949,33.953505,-78.71973988,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
2110500,5934,245,4.128749579,188,23.26530612,33.9126719,-78.7150175,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
2110701,5478,1959,35.76122673,1064,45.68657478,33.86100349,-79.0411471,1,Natural vegetation,1,Natural vegetation,0.25,0,0,0.25,0.5,0.25,FALSE,Natural-dominated
2110704,5871,464,7.903253279,345,25.64655172,33.8326111,-79.0437222,3,Urban,3,Urban,0.5,0,0,0.5,0,0.5,TRUE,Urban-dominated
2111,728,1,0.137362637,0,100,43.628448,126.308376,1,Natural vegetation,1,Natural vegetation,0,0.5,0,0,0.5,0.5,TRUE,Ag-dominated
2113,718,1,0.139275766,1,0,27.094325,109.614806,5,Other,1,Natural vegetation,0,0,0.5,0,0.5,0,FALSE,Natural-dominated
2114,662,6,0.906344411,3,50,34.889459,108.989429,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
2118,560,30,5.357142857,17,43.33333333,45.787555,126.752056,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
212011,48,3,6.25,3,0,-33.5343,150.0951,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
212054,239,9,3.765690377,7,22.22222222,-33.3971,150.0839,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
2121,591,32,5.414551607,21,34.375,45.552395,133.281365,2,Cropland,2,Cropland,0,0.5,0,0.25,0.25,0.5,TRUE,Ag-dominated
212244,191,95,49.7382199,73,23.15789474,-33.97944444,150.5591667,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
