file_name,median_hours,n_events,latitude,longitude,lc5_point,lc5_name,lc5_dom_2km,lc5_dom_name_2km,p_urban_2km,p_crop_2km,p_other_2km,p_wetland_2km,p_natural_2km,human_share,human_impacted,landuse_group
13013650,NA,0,43.65405556,-110.7154722,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
13018750,NA,0,43.3722222,-110.7386111,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
1302020,9,5,40.86230556,-73.87438889,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
13213000,NA,0,43.78166667,-116.9727778,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
1342732,NA,0,43.01975,-75.0284722,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
1354330,NA,0,42.8281583,-73.9903722,3,Urban,3,Urban,0.75,0,0,0,0.25,0.75,TRUE,Urban-dominated
1355475,NA,0,42.8511111,-73.88725,3,Urban,1,Natural vegetation,0.25,0.25,0,0,0.5,0.5,TRUE,Natural-dominated
135749950,1,6,42.78569444,-73.7104167,3,Urban,1,Natural vegetation,0.5,0,0,0,0.5,0.5,TRUE,Urban-dominated
135980207,NA,0,42.4996111,-73.7768056,5,Other,1,Natural vegetation,0.25,0.25,0,0,0.5,0.5,TRUE,Natural-dominated
1363121256010_,1,16,38.7736,139.8489,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
1376307,NA,0,40.93625,-73.9043056,3,Urban,3,Urban,0.5,0,0.5,0,0,0.5,TRUE,Urban-dominated
1376515,NA,0,40.76463889,-74.0031944,5,Other,5,Other,0,0,1,0,0,0,FALSE,Mixed
1376520,NA,0,40.72152778,-74.0156111,5,Other,3,Urban,0.5,0,0.5,0,0,0.5,TRUE,Urban-dominated
1388000,NA,0,40.99194444,-74.28,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
1400500,NA,0,40.55555556,-74.58277778,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
1402000,7,8,40.475,-74.5758333,2,Cropland,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
14078260,7,2,44.062,-120.0433056,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
14149011,NA,0,43.91378056,-122.7556472,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
14150000,NA,0,43.9456815,-122.8372967,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
