file_name,total_days,days_with_DO_below_3,days_11am_DO_below_3,per,latitude,longitude,lc5_point,lc5_name,lc5_dom_2km,lc5_dom_name_2km,p_urban_2km,p_crop_2km,p_other_2km,p_wetland_2km,p_natural_2km,human_share,human_impacted,landuse_group
4166500,4936,33,2,93.93939394,42.3730923,-83.2546513,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
4168400,2102,26,1,96.15384615,42.30837099,-83.2527063,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
4171,455,3,2,33.33333333,33.011787,97.255347,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
4177,386,3,1,66.66666667,51.763712,126.639504,5,Other,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
4179,314,2,0,100,46.567284,132.633838,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
4182,312,2,1,50,45.401432,126.299118,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
4183038,1045,54,23,57.40740741,41.1830833,-84.8696944,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
4183500,1976,2,0,100,41.19893889,-84.7444033,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
4184,468,1,0,100,45.316643,132.585736,5,Other,5,Other,0,0,1,0,0,0,FALSE,Mixed
4186,343,120,94,21.66666667,46.3054261,129.5434746,3,Urban,2,Cropland,0.25,0.5,0.25,0,0,0.75,TRUE,Ag-dominated
4187,354,1,1,0,45.4936489,125.0451846,3,Urban,2,Cropland,0,0.5,0.5,0,0,0.5,TRUE,Ag-dominated
4188496,2893,293,155,47.09897611,40.9792203,-83.6532653,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
4192,296,1,0,100,50.2386399,127.5357671,3,Urban,3,Urban,0.5,0,0.5,0,0,0.5,TRUE,Urban-dominated
4193500,717,31,0,100,41.5000526,-83.7127145,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
42001,516,94,70,25.53191489,42.01040278,-121.5614222,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
42071,1841,414,362,12.56038647,42.12805556,-121.9277778,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
42081,513,155,124,20,42.14258889,-121.672186,2,Cropland,2,Cropland,0,0.75,0,0,0.25,0.75,TRUE,Ag-dominated
422001,295,216,196,9.259259259,-30.01531667,148.06075,1,Natural vegetation,1,Natural vegetation,0,0.25,0,0,0.75,0.25,FALSE,Natural-dominated
422002,295,216,196,9.259259259,-29.94716667,146.8637167,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
422003,227,161,150,6.832298137,-29.547141,148.576104,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
4220045,1534,44,14,68.18181818,43.17430556,-78.38638889,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
4220223,1544,1,0,100,43.3390833,-77.9152222,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
422027,274,187,179,4.278074866,-30.14343333,147.3768667,1,Natural vegetation,1,Natural vegetation,0,0.5,0,0,0.5,0.5,TRUE,Ag-dominated
425001,28,27,25,7.407407407,-32.3969,142.4218,1,Natural vegetation,1,Natural vegetation,0,0,0.25,0,0.75,0,FALSE,Natural-dominated
425003,245,163,152,6.748466258,-30.087894,145.936761,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
425004,251,94,94,0,-30.53474142,145.1150748,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
425007,762,30,27,10,-33.74641667,142.2682778,1,Natural vegetation,4,Wetland,0,0.25,0,0.5,0.25,0.25,FALSE,Mixed
425012,67,26,24,7.692307692,-32.4353,142.3799,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
425039,427,270,255,5.555555556,-29.9646,146.3004,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
45301,2774,185,107,42.16216216,45.5009505,-122.852045,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
45303,1711,8,7,12.5,45.5081944,-122.9335,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
50048565,2893,14,3,78.57142857,18.4070314,-66.118083,3,Urban,3,Urban,0.75,0,0.25,0,0,0.75,TRUE,Urban-dominated
50048580,2331,1483,734,50.50573163,18.4201918,-66.1160552,3,Urban,3,Urban,0.75,0,0.25,0,0,0.75,TRUE,Urban-dominated
5051522,1512,4,0,100,46.65968548,-96.7959154,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
5054000,5680,2,0,100,46.861075,-96.7836924,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
5057000,3530,60,57,5,47.43277097,-98.0275954,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
5062130,1491,1,0,100,47.0926944,-96.8170556,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
5114000,1004,73,12,83.56164384,48.98995719,-101.9583348,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
5117500,1162,50,48,4,48.2458428,-101.3712745,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
5124000,1257,367,339,7.629427793,48.9964079,-100.9584889,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
5406457,2765,1,0,100,43.1097222,-89.6408333,3,Urban,1,Natural vegetation,0,0.25,0,0,0.75,0.25,FALSE,Natural-dominated
5406469,931,4,0,100,43.12527778,-89.635,2,Cropland,1,Natural vegetation,0,0.5,0,0,0.5,0.5,TRUE,Ag-dominated
5406479,2063,10,0,100,43.1147222,-89.6641667,3,Urban,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
5435943,9218,39,1,97.43589744,42.97694444,-89.5394444,3,Urban,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
5435950,5354,5,0,100,42.94916667,-89.5441667,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
5474500,920,6,1,83.33333333,40.39365535,-91.374318,5,Other,5,Other,0,0,1,0,0,0,FALSE,Mixed
5515500,3686,12,5,58.33333333,41.38963889,-86.7061667,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
5524500,3020,2,1,50,40.87059306,-87.3066912,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
5537980,2452,20,10,50,41.5364722,-88.0836944,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
5545750,915,11,1,90.90909091,42.61085116,-88.225923,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
5549500,1185,72,12,83.33333333,42.3100222,-88.2514745,3,Urban,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
5558300,1949,8,3,62.5,41.10727778,-89.3562222,5,Other,4,Wetland,0,0,0,1,0,0,FALSE,Mixed
5559900,451,10,1,90,40.72503739,-89.5495396,4,Wetland,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
5567500,730,43,22,48.8372093,40.6235,-89.2416667,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
5586300,4290,6,0,100,39.63275,-90.6076667,5,Other,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
5599490,2013,232,169,27.15517241,37.7583333,-89.3277778,1,Natural vegetation,1,Natural vegetation,0,0.5,0,0,0.5,0.5,TRUE,Ag-dominated
