gauge_id,mean_intensity,UPLAND_SKM,ORD_STRA,ele_mt_cav,slp_dg_uav,tmp_dc_uyr,pre_mm_uyr,ari_ix_uav,wet_pc_ug2,for_pc_use,crp_pc_use,ppd_pk_uav,rdd_mk_uav,hdi_ix_cav,DO_P25,WT_p75,Q_p25,daylength_median,daylength_p75,solar_p75
3292480,0.351666667,29.3,1,188,15,128,1152,98,0,20,3,729.251,7182,814,7.95,20.5,0.018519353,12.05611111,13.99972222,20.91
3292500,0.736262608,33.4,1,168,8,130,1147,97,0,8,2,1634.753,8806,814,6.2,22.725,0.230871432,12.00861111,13.83333333,20.165
3293000,0.350782077,88.8,2,161,9,129,1152,98,0,8,4,1091.036,7709,834,7.3,21.9,0.110114872,12.12583333,13.86861111,20.83
3293500,0.644668146,88.8,2,161,9,129,1152,98,0,8,4,1091.036,7709,834,5.65,22.175,0.148339868,12.12055556,13.94763889,20.865
3293510,0.926408666,88.8,2,161,9,129,1152,98,0,8,4,1091.036,7709,834,4.375,21.2,0.574727923,11.41305556,13.29902778,19.075
3293530,0.45890129,235021.7,7,145,61,104,1093,101,1,74,23,64.961,675,921,6.4,20.875,1491.263763,12.20125,13.96416667,21.12
3294570,0.776236769,275.5,3,137,18,132,1149,97,0,23,7,841.579,5856,814,6.3,21.3,0.014661716,12.0625,13.895,20.84
3297800,0.370279223,31.6,2,163,28,132,1198,99,0,13,19,51.434,292,814,7.85,20.75,0.188122496,12.09069444,13.95729167,21.25
3297900,0.416136717,247.8,3,217,17,124,1167,100,0,4,39,156.417,1610,814,6.35,21.4,0.924493954,12.12944444,13.84909722,20.38
3298135,0.83550131,43.4,1,208,18,128,1169,99,0,26,10,582.853,4853,814,7.725,21.175,0.059122422,12.0675,13.84909722,20.24
3298150,0.515306122,43.4,1,208,18,128,1169,99,0,26,10,582.853,4853,814,7.75,22.35,0.071723819,12.08972222,13.9225,20.75
3298200,0.697932331,587.7,3,190,20,126,1171,99,0,21,31,173.706,1891,814,7.533333333,22.65,2.309108138,11.54694444,13.30819444,19.275
3298250,0.964160034,33.9,1,203,14,130,1173,99,0,14,17,629.643,4466,814,7.55,21,0.378774822,12.1525,13.90055556,21.16
3298300,0.66695702,19.9,1,193,11,130,1170,99,0,2,15,658.846,5496,814,6.25,21.6,0.384382419,12.0775,13.96680556,20.7175
3301940,0.589709842,44.6,1,179,10,131,1157,98,0,0,8,1096.247,6570,814,7.275,22.725,0.234744556,11.89666667,13.96958333,20.295
3302000,0.771056951,256.4,3,166,16,132,1149,97,0,18,6,874.587,6175,814,6.525,24.625,0.770906091,11.80222222,13.87,20.38
3302030,0.912871737,26,1,176,46,132,1155,99,0,82,16,119.234,816,814,6.525,23.025,0.983211845,11.73888889,13.67611111,19.8225
3302050,0.410189547,26,1,176,46,132,1155,99,0,82,16,119.234,816,814,5.75,20.725,1.060578912,12.08263889,13.89048611,20.665
3321500,0.272009608,23713,6,116,26,135,1277,105,5,36,43,27.545,378,821,6.625,25.2,105.2861595,12.13652778,13.85368056,21.3075
3353415,0.747436561,28.2,1,271,2,107,1028,96,0,47,39,318.653,3639,921,6.05,19.775,0.204453163,12.56166667,14.22388889,21.25
3353420,0.709561288,28.2,1,271,2,107,1028,96,0,47,39,318.653,3639,921,6.525,19.725,0.274703756,12.31444444,14.12916667,20.875
3400800,0.556568458,153.1,2,478,141,117,1299,113,0,100,2,7.793,219,841,7.4,22.6,0.092093576,13.58444444,14.37208333,23.565
3414000,0.258560606,14915.4,6,218,84,125,1314,111,0,79,15,25.36,322,814,6.2,14.1,85.80792618,11.97972222,13.60736111,21.705
3417500,0.265,18810.9,6,186,79,127,1324,111,0,79,15,22.495,297,810,8.4,16.4,101.7047482,13.33458333,14.24777778,23.51
3418420,0.947986111,20908,6,192,78,128,1330,111,0,78,17,23,305,810,7.8,20.5,110.0528336,13.4775,14.30354167,24.15
3430200,0.563167134,72.8,2,143,22,144,1231,98,0,22,15,626.278,3764,810,6.5,23,11.54203367,12.20055556,13.83361111,21.695
3431083,0.281550265,284.3,3,144,29,144,1238,98,0,40,10,660.826,4535,810,7.275,23.8,0.23560138,12.16055556,13.82333333,21.6275
3431514,0.841547619,33339.1,6,143,64,132,1351,111,0,67,21,51.204,532,810,7.5,24,219.5274582,12.23125,13.86902778,21.75
38171,0.324444444,235778.3,7,138,61,104,1093,101,1,74,23,65.995,682,921,6.1,29.22708333,791.8582764,12.74861111,13.52611111,21.79
401011281104040_,3,2912.2,5,104,95,46,1216,178,1,84,3,22.362,147,897,9.7,16.5,43.81476212,12.26666667,14.52111111,16.21
401031281101050_,2.975538657,12802.6,6,8,90,53,1260,176,0,74,11,85.208,423,897,8.6,17.6,213.8250198,12.34888889,14.32527778,17.08
401031281104010_,1.88244302,1471.5,4,132,128,28,1359,213,1,64,16,19.088,140,897,10.4,14.3,19.2612381,12.22972222,14.49194444,16.68
401061281105020_,2.50882243,1230,4,8,120,57,1293,179,0,95,3,8.528,165,897,9.7,17.3,17.98624706,12.22652778,14.30402778,16.7875
401081281107070_,1.277421903,2850.1,4,37,94,45,1552,219,0,51,22,39.1,183,897,8.4,14.5,36.68301487,12.13611111,14.27013889,16.9875
401081281107090_,1.82,8243.7,6,12,90,46,1340,191,0,62,19,38.473,166,897,9.3,15.4,104.3165436,12.13694444,14.31861111,17.08
401101281108051_,2.743357038,8.2,1,70,62,61,831,124,0,87,35,106.678,277,897,8,19.1,12.23942947,12.29763889,14.45604167,16.55
402011282206020_,2.932857143,4148.3,5,156,79,107,1355,149,0,61,17,255.02,985,895,8.7,21.2,47.69096756,12.35944444,13.98805556,17.5075
402011282218040_,2.978571429,1875.1,5,228,61,108,1371,149,0,47,28,228.323,1239,895,11.5,8.5,21.79284859,10.3025,11.21194444,11.86
402011282218070_,2.357142857,2930.8,5,151,66,108,1352,148,0,54,22,240.638,1028,895,8.8,19.8,26.27924919,12.34916667,13.95972222,18.505
402011282218090_,2.464130435,4089.9,5,149,78,107,1356,149,0,60,17,257.707,964,895,8.2,20.4,48.33202553,12.13416667,14.03388889,17.16
402011282228040_,1.910882353,199.8,3,412,75,102,1394,159,0,54,11,91.92,693,895,9.1,18.9,1.936480045,12.51722222,13.98277778,18.7
402011282228070_,2.357142857,4.6,1,391,58,110,1310,142,0,0,20,309.755,396,895,8.8,19.8,1.940077305,12.34638889,13.93708333,18.505
402011282228160_,0.95,199.8,3,412,75,102,1394,159,0,54,11,91.92,693,895,8.5,19.6,1.951928854,12.44611111,13.98722222,18.69
402021282206050_,2.48125,309.7,3,92,124,97,1427,168,0,81,2,1311.491,2551,895,11.7,9.7,6.639416695,10.59638889,12.13,12.2
402031282207080_,2.550978261,789,4,22,67,103,1400,163,0,65,16,95.176,1776,895,9.3,19.4,13.18030119,12.06638889,13.95263889,17.205
402031282207090_,2.131571613,1295,4,19,58,108,1344,156,0,60,17,158.233,2295,895,8,20.7,20.47101021,12.13027778,13.97388889,17.17
402041282204010_,1.291666667,1076.9,5,225,86,75,1469,185,0,86,4,121.675,457,889,10,16.4,14.68111444,12.20777778,14.10048611,16.69
402041282204050_,1.695310134,2634.4,5,121,94,80,1467,180,0,72,7,167.352,451,889,9.2,18.2,41.33529568,12.47527778,14.20527778,17.48
402041282204090_,2.96969697,5531.6,5,48,103,83,1467,179,0,65,10,124.175,451,889,9,18.8,92.94828415,12.30138889,14.09645833,17.1275
402041282204110_,2.365854323,7098.5,5,118,98,85,1450,175,0,60,11,122.872,464,889,9.2,19,124.9507675,12.11722222,14.01083333,17.78
402041282207090_,2.956481481,10016.4,5,4,89,90,1415,170,0,56,13,125.696,519,895,8.6,20.1,31.96204424,12.16055556,14.01256944,17.28
402041282220220_,2.878571429,1076.9,5,225,86,75,1469,185,0,86,4,121.675,457,889,11.2,10.8,11.46877027,11.14263889,13.09333333,14.9775
402051282201010_,2.002642185,1873.1,4,89,103,82,1379,171,0,85,3,57.885,495,878,9.2,18.4,28.08848667,12.43847222,14.26284722,16.8225
402071282201010_,0.462333333,19.2,1,285,128,93,1427,177,0,75,1,348.188,264,878,9.1,18.5,10.82577848,13.18611111,14.5475,18.875
402071282201080_,0.918098219,1456.6,5,9,108,87,1438,181,0,75,3,176.914,458,878,7.5,18.7,40.48130608,12.35694444,14.22388889,17.21
402081282211040_,2.902364228,3750.2,5,83,129,87,1538,190,0,92,2,46.671,422,885,9.9,17.4,99.93135262,11.99472222,13.96395833,16.5725
