gauge_id,mean_intensity,UPLAND_SKM,ORD_STRA,ele_mt_cav,slp_dg_uav,tmp_dc_uyr,pre_mm_uyr,ari_ix_uav,wet_pc_ug2,for_pc_use,crp_pc_use,urb_pc_use,ppd_pk_uav,rdd_mk_uav,hdi_ix_cav,DO_P25,WT_median,WT_mean,WT_p75,Q_median,Q_p25,daylength_median,daylength_p75,solar_median,solar_p75
2147310,0.362065972,9880.4,5,141,40,144,1234,98,0,61,10,17,185.44,1890,865,6.35,24.5,23.22243033,28.25,117.1026688,72.47640228,12.86583333,13.96083333,18.78,23.58
21474095,0.554047619,518,3,128,18,159,1193,90,0,96,7,1,22.955,383,865,6.65,24.4,23.33536566,28.4,2.598125219,0.83267352,13.02555556,14.02680556,19.4,23.935
2147505,0.538865915,86.4,3,110,30,159,1169,88,0,98,4,0,4.653,161,865,6.875,24.2,23.08416639,28.2,128.3600616,73.09961319,12.60388889,13.77402778,18.02,22.99
215207,2.995208075,4641,4,479,54,123,864,75,0,66,1,0,1.148,138,954,10.64,9.931,9.656528013,11.9,7.218784571,3.565139353,10.27013889,10.92055556,11.265,13.885
2152131,1.812390153,295.3,2,326,84,134,1054,91,0,92,0,0,7.845,135,954,10.598,13.088,13.44787942,14.90225,0.570715964,0.20355849,11.28277778,12.21861111,13.65,18.78
215220,0.616609345,447.6,3,230,94,145,1594,143,0,96,0,0,7.228,170,954,10.624,10.6,10.98050303,12.286,2.661275864,0.903979957,10.21222222,10.76902778,11.16,13.365
215233,0.815272004,60.9,1,596,67,135,1545,139,0,91,1,0,7.021,304,954,1.9705,19.144,19.16639867,20.863,0.044059232,0.019717197,13.56097222,14.12125,21.295,25.3975
2168504,1.154870412,6288.4,5,112,23,159,1267,94,0,70,13,6,83.499,980,865,6.475,14.975,14.5619222,16.6,65.14156342,44.14271164,12.37666667,13.82402778,16.73,22.635
2171645,0.582794118,36,1,22,6,175,1254,90,45,47,9,0,61.969,164,865,7.15,21.3,20.90713525,28.25,0.13440448,0.007384623,12.22194444,13.65791667,16.835,22.635
2172002,0.407549479,420.2,3,13,3,177,1255,91,16,32,5,2,36.092,443,865,6.35,20.975,20.42700433,27.1,2.890949368,2.057748616,12.20402778,13.75361111,17.29,23.1425
2203603,0.280854732,15.4,1,299,18,160,1285,100,0,15,0,100,984.228,8998,921,7.75,17.23333333,16.88764664,22.325,0.91041714,0.112430479,12.16277778,13.68319444,16.61,22.2
2203655,2.6875,76.6,2,272,20,160,1283,99,0,14,0,97,848.853,8457,921,6.725,17.2,16.81652418,22.825,0.936622053,0.123222094,12.05958333,13.62020833,16.34,21.97
2203950,0.829940247,43.9,2,286,19,157,1316,102,0,24,0,100,1447.215,8711,921,7.475,17.4,16.93095879,22.45,1.217153728,0.332693532,12.3275,13.73555556,16.835,22.27
2207160,0.025,77.8,2,255,29,157,1317,102,0,41,0,72,628.486,6478,921,6.5,19.6,19.42270624,26.275,0.707921982,0.057871971,12.05444444,13.64555556,16.66,22.16
224203,0.282328571,3902,5,80,168,102,1122,110,0,99,0,0,0.144,45,952,10.73375,11.6,12.28871528,13.5,11.47567177,9.564359188,11.57472222,12.009375,14.085,18.345
225212,0.015,1365.6,4,34,129,107,1402,137,0,87,0,0,2.188,141,952,10.257,9.1,9.925507479,9.9,8.563984871,5.099052668,9.918888889,10.76534722,8.06,10.8375
225236,0.699438624,1146.4,4,198,146,102,1503,148,0,96,0,0,0.578,123,952,1.993,19.8,19.75416667,20.3,6.914455414,6.276263237,14.22138889,14.28055556,18.82,30.5
225256,0.395292562,17.3,1,28,4,138,633,55,0,8,2,0,29.556,265,952,10.26875,11.4,12.66820313,13.5,10.2217741,7.14524579,10.94347222,12.10847222,10.89,14.8275
2264000,0.783025669,48,1,32,6,222,1217,79,38,60,3,38,168.82,1596,892,2.3,22.15,21.64884192,25.475,0.338529468,0.113581667,11.91277778,13.225625,17.07,21.315
2264100,1.005105335,48,1,32,6,222,1217,79,38,60,3,38,168.82,1596,892,4.3,24.9,24.10918336,28.275,0.300131112,0.08390332,12.13888889,13.33555556,17.565,21.87
226415,0.79071209,153.9,2,131,106,119,1048,104,0,92,0,0,7.255,350,952,3.12,13.4,15.83134058,21.125,0.818668276,0.6297566,12.30486111,14.10666667,13.035,21.4725
2266200,1.367529744,156.9,2,36,7,220,1251,82,37,4,13,14,133.954,947,892,1.1,23.0875,22.37616285,26.4,0.190199338,0.052717731,12.05305556,13.30625,17.29,21.5725
2266291,1.439636918,35.7,1,36,6,220,1246,82,37,0,14,23,249.013,864,892,1.275,25.1,23.99515029,27.775,0.15872886,0.101117993,10.88888889,11.57298611,14.28,16.7775
2266300,0.858552092,321.5,3,34,7,220,1243,81,35,18,9,27,239.496,2193,892,4.675,24.025,23.07839827,26.5,0.963844121,0.304356389,12.11069444,13.28541667,17.4,21.7075
2266495,1.32688663,470.6,3,30,7,221,1238,81,36,24,8,27,222.516,1998,892,1.25,23.6,22.60685746,26.4,0.155735478,0.038988907,11.9275,13.32888889,16.96,21.05
227264,1.229844548,90.8,2,86,53,131,1070,104,0,8,0,0,46.659,333,952,1.428,15.8,15.7187578,18.2,0.016791446,0.004022485,13.31083333,14.58875,16.8,25.06
227270,1.400816125,16.3,1,195,51,129,1129,111,0,10,2,0,113.034,278,952,1.102,15.9,15.70541822,17.6,0.011611338,0.003161816,13.51694444,14.465625,21.3,26.64
227273,2.288228177,503.6,3,5,34,136,1020,101,0,5,1,2,24.482,303,952,0.393,21.7,21.41094577,23.6,0.18021179,0.024634665,14.00291667,14.63326389,22.45,27.1875
229143,3,3330.1,4,45,80,128,1167,109,0,78,2,14,233.665,1674,952,10.485,15.8,16.14760947,19.4,12.37435246,6.203516483,12.41861111,13.885,15.77,23.06
229147,0.063094286,2159.1,4,130,100,122,1346,128,0,96,2,3,42.286,548,952,3.37775,14.2,14.57708333,17.9,11.60544062,3.134061992,11.95833333,12.76125,15.305,18.8575
230220,0.529995257,324.9,2,294,40,123,857,80,0,61,5,4,60.411,536,952,2.57675,17.5,16.49899907,19.2,0.043870017,0.011423528,12.21277778,13.91069444,16.1,23.07
230240,0.915690365,16.8,1,297,36,133,681,62,0,3,3,56,880.957,2544,952,1.813,17.6,17.01899977,19.2,0.094682615,0.036098191,12.67875,14.19048611,18.24,24.2925
2304000,0.975961536,1702.2,4,21,7,221,1332,87,37,20,15,25,268.371,2351,892,2.225,24.575,23.11902694,26.8,7.406266212,4.322687149,12.21194444,13.38111111,18.21,22.755
2313700,0.162457646,1198.3,4,8,1,205,1316,84,31,61,11,0,12.856,208,892,4.7,23.6,22.57214992,26.3,17.22448826,8.083804131,11.75402778,13.11319444,16.565,21.25
232242,0.74082901,736.7,3,311,25,119,831,79,0,39,5,0,6.732,260,952,10.40475,11.4,11.56325967,12.7,0.857216418,0.302439012,11.73444444,12.23048611,12.045,16.7375
2326526,0.301514845,92.3,2,22,11,195,1461,98,70,100,6,0,10.838,242,892,5.325,21.425,21.05516824,23,0.437280953,0.168527991,12.27777778,13.46972222,18.01,22.665
