file_name,latitude,longitude
2369,22.866259,109.287212
3072,25.248311,110.356664
3075,22.580836,110.81614
3640,26.454783,106.024287
3633,25.469452,105.788393
3639,25.424586,106.349905
3653,24.971523,105.136215
3650,27.072791,105.517573
2552,27.66309,105.55528
2550,27.504242,108.684432
3648,26.050708,107.859702
3645,26.594198,104.81999
6330,26.6586,106.8425
3643,27.019474,107.194447
3641,26.59063,105.814847
2549,26.627461,106.675106
3628,26.299092,106.945617
3655,26.09237,107.267217
3632,26.315435,104.751606
3637,26.395302,106.25089
3642,25.338895,106.859982
3629,25.453177,105.225155
2555,26.768079,107.879014
2548,25.74035,108.90642
3644,25.959223,108.413673
2551,24.978988,104.75777
3631,28.501509,107.334652
3626,26.049567,106.617924
6343,25.427,106.5798
2554,27.017328,108.63525
3636,27.197683,106.69382
2101,25.032207,106.140539
3654,24.871249,104.586066
3649,25.047065,104.993971
3635,26.50267,106.885877
2547,26.8793,107.450544
3646,24.965662,106.150154
2546,24.930468,105.034115
6446,24.8908,105.0653
3630,27.545454,108.232482
3627,27.727316,108.211309
2553,27.458087,106.232531
3647,27.856315,106.831306
4097,28.6121356,105.7347714
6263,28.6078,105.7339
4096,26.517989,106.698497
3651,28.557576,107.503885
4098,28.707484,107.99651
4092,27.39656,107.706988
4094,27.362076,107.413232
2556,25.282076,105.533786
3638,27.576213,107.191157
3652,27.433498,107.267449
3634,28.749019,106.83572
4033,19.2720963,108.6903554
4034,19.9705531,110.4074416
4031,19.2015342,110.3966286
2514,19.329235,108.685071
6436,19.2542,108.759
3401,19.23792,108.90976
3408,18.892128,110.410343
3395,18.309346,109.296015
3400,19.41804,109.55144
6433,19.383,109.5534
3394,20.046635,110.362581
6435,18.9656,109.0124
2516,18.985702,109.005486
3415,18.299466,109.537206
3404,19.738661,110.220908
2518,19.882588,110.416458
3398,20.033524,110.392915
2517,19.970869,110.397589
3413,20.001319,110.372868
3419,20.017377,110.349228
3396,18.840112,109.319906
3397,18.435633,108.88035
