file,longitude,latitude,total_days,days_with_DO_below_3,days_11am_DO_below_3,per
A4261255,140.547905,-34.335475,236,24,23,4.166666667
A4261262,140.74787,-34.24422,423,4,2,50
A4261263,140.48899,-34.406627,2662,25,25,0
A4261264,140.54009,-34.374941,475,67,17,74.62686567
A4261265,140.564594,-34.328343,681,418,418,0
A4261268,140.77173,-34.22152,301,10,7,30
A4261270,140.781963,-34.212264,91,4,4,0
A4261271,140.771704,-34.20895,41,35,35,0
A4261536,140.53045,-34.34763,70,7,7,0
A4261539,140.77031,-34.22626,159,21,16,23.80952381
A4261789,140.38606,-34.26358,860,4,2,50
A5011036,138.51378,-35.4966,341,312,293,6.08974359
A5011038,138.60883,-35.55523,1101,945,937,0.846560847
A5011039,138.6235,-35.53251,843,370,316,14.59459459
A5011040,138.31725,-35.44815,240,232,223,3.879310345
A5040517,138.6813,-34.9703,61,46,37,19.56521739
Carrat,4.311987,45.829041,192,30,10,66.66666667
Charpassonne Chanin,4.311937,45.81982,211,2,1,50
Charpassonne Château de Donzy,4.27681,45.745372,354,36,18,50
Charpassonne la Jamarie,4.319506,45.807908,64,5,0,100
Charpassonne la Valette,4.29147,45.765039,159,4,1,75
Charpassonne le Tél,4.316504,45.804494,300,38,20,47.36842105
Charpassonne Moulin de Ronzy,4.314855,45.78491,159,8,1,87.5
Charpassonne Moulin Marcel,4.305821,45.825752,210,17,9,47.05882353
Coise la Bruyere,4.552785,45.62501,210,54,16,70.37037037
Coizet,4.50712,45.625713,211,19,2,89.47368421
Curraize,4.171648,45.580995,256,3,0,100
Doise,4.296509,45.736709,364,29,10,65.51724138
Fontbonne aval,4.342175,45.820128,192,10,5,50
Fontbonne Bessenay,4.369788,45.826535,207,32,1,96.875
Le Rieu,4.55312,45.625399,202,47,34,27.65957447
Loise amont Doise Salt,4.29548,45.737758,328,11,4,63.63636364
Loise Essertine en Donzy,4.327479,45.752768,117,15,7,53.33333333
Mare Pont du diable,4.133384,45.490166,224,24,16,33.33333333
mercier amont presles,4.6686959,45.7549898,207,1,0,100
miloniere,4.6293848,45.717876,203,2,1,50
morcilles,4.7009917,46.1259817,187,5,2,60
Moulin Piquet aval,4.319036,45.806483,313,16,7,56.25
ratier amont charbonnieres,4.7554872,45.7581675,203,2,0,100
ratier amont ribes,4.7437924,45.7558605,208,1,0,100
sallarin,4.651791,46.0550185,208,8,2,75
st didier,4.5684728,46.1658245,201,1,0,100
thielas,4.6113778,46.1103645,210,1,0,100
thiollet,4.5749122,45.7144619,200,1,0,100
Toranche aval,4.215967,45.685126,313,89,53,40.4494382
Toranche St Cyr les Vignes,4.301466,45.673081,370,43,25,41.86046512
vernus,4.6500288,46.1429728,195,10,0,100
Vizézy amont Bullieux,4.104924,45.638865,153,16,3,81.25
35541,-106.6214241,35.90279958,19,2,0,100
37531,-97.4411111,37.89713889,1723,15,2,86.66666667
38051,-121.6512444,38.09661389,699,556,479,13.84892086
38071,-121.5428972,38.1198,406,244,152,37.70491803
38171,-85.821925,38.2846833,81,2,1,50
39021,-94.60745,39.0338222,301,27,4,85.18518519
39191,-108.2178056,39.33119444,1224,14,0,100
42001,-121.5614222,42.01040278,516,94,70,25.53191489
42071,-121.9277778,42.12805556,1841,414,362,12.56038647
42081,-121.672186,42.14258889,513,155,124,20
45301,-122.852045,45.5009505,2774,185,107,42.16216216
45303,-122.9335,45.5081944,1711,8,7,12.5
1104430,-71.2733903,42.3981512,51,1,0,100
1191000,-72.7080556,41.78443889,2916,31,0,100
1302020,-73.87438889,40.86230556,1158,7,2,71.42857143
1402000,-74.5758333,40.475,529,8,2,75
1465798,-74.9851603,40.0569557,92,1,0,100
1467087,-75.0968411,40.0159454,89,7,2,71.42857143
1473900,-75.2198992,40.1239987,699,8,2,75
1475548,-75.2376361,39.9327861,1637,22,3,86.36363636
1477050,-75.36630199,39.83677934,4259,3,0,100
1484272,-75.25077778,38.791,2786,313,81,74.12140575
1484525,-75.29102778,38.59455556,4819,47,12,74.46808511
1574000,-76.7180813,40.0809008,1728,3,0,100
1611500,-78.3097312,39.5823158,4045,1,1,0
1646000,-77.24581439,38.97594346,4159,2,0,100
1649500,-76.9259722,38.96025,5888,23,6,73.91304348
1654500,-77.2364549,38.81358508,3716,3,0,100
1656903,-77.4319047,38.8823899,4357,21,0,100
1670200,-77.9502747,38.1545801,504,9,4,55.55555556
2079500,-78.2977743,36.60319824,5671,1167,331,71.63667524
2081094,-76.89277778,35.81305556,6128,56,47,16.07142857
2101726,-79.4230754,35.73514055,5398,585,112,80.85470085
2110400,-78.71973988,33.953505,5927,585,237,59.48717949
2110500,-78.7150175,33.9126719,5934,245,188,23.26530612
2110701,-79.0411471,33.86100349,5478,1959,1064,45.68657478
2110704,-79.0437222,33.8326111,5871,464,345,25.64655172
2129375,-79.878925,34.8662583,1559,4,0,100
2135000,-79.2477222,34.05675,3940,1,0,100
2138520,-81.8352528,35.74125,2157,3,1,66.66666667
2145910,-81.00156389,35.01641944,1624,35,5,85.71428571
2147310,-80.8905556,34.59805556,2134,29,13,55.17241379
2147505,-80.8752778,34.5411111,2029,16,0,100
2167600,-81.5684382,34.09930647,165,1,0,100
2167716,-81.5617714,34.0795843,698,31,3,90.32258065
2168504,-81.2095418,34.0509822,2691,49,32,34.69387755
2169000,-81.0878717,34.0140416,5430,2,2,0
2171645,-79.915,33.4275,5037,17,1,94.11764706
2172002,-79.9749167,33.21491667,2791,69,3,95.65217391
2203603,-84.4152778,33.68388889,5612,14,0,100
2203655,-84.35813889,33.67891667,5695,6,1,83.33333333
2203800,-84.3079444,33.6796111,150,4,2,50
2203873,-84.2391667,33.70941667,3817,4,2,50
2203900,-84.224,33.66577778,4360,2,0,100
2203950,-84.2203611,33.7632222,4389,11,3,72.72727273
2207160,-84.0771667,33.77327778,3216,1,0,100
2207385,-83.99013889,33.81527778,430,1,0,100
2239501,-82.0412,29.2149764,1485,939,1,99.89350373
2264000,-81.5195173,28.39056323,3934,2234,1471,34.15398389
2264051,-81.515,28.37444444,1842,108,32,70.37037037
2264100,-81.5206284,28.32528785,5133,1013,560,44.71865745
2266200,-81.6164632,28.38500749,4252,4008,3599,10.20459082
2266291,-81.6052778,28.42702778,1827,1059,881,16.80830973
2266300,-81.579796,28.33278738,3296,92,80,13.04347826
2266495,-81.5439622,28.27584517,2942,2214,2058,7.046070461
2301500,-82.2112008,27.872248,1557,1,0,100
2301635,-82.26858889,27.85715556,1595,10,0,100
2304000,-82.3637032,28.05446224,5830,2531,2315,8.534176215
2313700,-82.769001,29.20413378,2110,46,17,63.04347826
2318500,-83.4534444,30.79330556,1612,9,7,22.22222222
2322700,-82.7859573,29.95273288,979,21,0,100
2326516,-83.9923333,30.3397222,1237,1097,1080,1.549680948
2326526,-83.9796085,30.3013159,2962,60,4,93.33333333
2334430,-84.0784167,34.15666667,454,69,9,86.95652174
2336120,-84.3427778,33.83155556,5979,6,0,100
2336152,-84.2479722,33.81044444,4378,44,20,54.54545455
2336300,-84.40763889,33.82030556,5289,3,0,100
2336313,-84.43863889,33.82163889,5709,77,27,64.93506494
2336360,-84.37888889,33.86916667,5800,4,0,100
2336526,-84.4741944,33.7944722,5918,19,2,89.47368421
2336728,-84.5681667,33.74352778,5766,1,0,100
2337170,-84.6736111,33.65666667,5687,2,1,50
2344630,-84.5826111,33.35727778,5348,53,32,39.62264151
2344673,-84.5727222,33.38316667,3445,36,21,41.66666667
2357150,-84.7495,30.903,2673,16,14,12.5
2358000,-84.8590871,30.7010251,2352,1,0,100
2359170,-85.0154686,29.94937094,2634,24,23,4.166666667
2359223,-85.0842806,29.7695111,1454,50,14,72
2394682,-84.8544444,34.0789722,2914,3,0,100
2423571,-86.7169325,33.52093809,2061,54,28,48.14814815
3099500,-80.5361815,41.03672598,1874,2,0,100
3123499,-85.7480176,38.2150706,81,2,1,50
3219500,-83.1971372,40.4195042,3120,40,9,77.5
3254520,-84.44799549,38.9203417,5229,77,46,40.25974026
3284533,-84.4786111,37.9383333,237,36,2,94.44444444
3287590,-84.4111111,38.04006944,489,100,57,43
3289193,-84.5543852,38.06674334,942,5,1,80
3289200,-84.5879977,38.103687,379,5,0,100
3290500,-84.9632844,38.43895654,2031,4,3,25
3292470,-85.57459969,38.36117864,3817,3,2,33.33333333
3292474,-85.606072,38.2759036,3360,61,13,78.68852459
3292475,-85.62801689,38.3034027,3852,10,0,100
3292480,-85.6261558,38.3127635,3400,4,1,75
3292500,-85.7024613,38.2114592,3248,222,82,63.06306306
3293000,-85.6646834,38.237293,4347,30,1,96.66666667
3293500,-85.7166287,38.25034895,3474,566,164,71.02473498
3293510,-85.7207955,38.26590398,2641,539,370,31.35435993
3293530,-85.693573,38.27645917,3730,22,4,81.81818182
3293532,-85.7182954,38.2603486,1162,75,18,76
3294570,-85.8899635,38.07812588,2346,82,35,57.31707317
3297800,-85.6411111,37.9911111,3771,39,7,82.05128205
3297900,-85.4674592,38.28534776,2758,67,17,74.62686567
3298000,-85.460235,38.18840166,3813,1,1,0
3298135,-85.557181,38.19479109,3372,49,2,95.91836735
3298150,-85.5421797,38.16006729,3848,6,0,100
3298200,-85.5549556,38.08534216,3064,18,1,94.44444444
3298250,-85.6160683,38.0792321,3523,36,6,83.33333333
3298300,-85.642458,38.08756629,3262,259,114,55.98455598
3301940,-85.6935714,38.1503466,3663,263,39,85.17110266
3302000,-85.7957955,38.1197916,2969,56,36,35.71428571
3302030,-85.8716296,38.05423677,3719,79,24,69.62025316
3302050,-85.8572681,38.04693096,3705,279,126,54.83870968
3302058,-85.9220556,37.9922222,575,2,1,50
3321500,-87.4097294,37.8583774,3810,33,14,57.57575758
3353415,-86.3554444,39.88577778,2286,156,78,50
3353420,-86.3615278,39.8725833,3066,310,96,69.03225806
3378500,-87.941419,38.130879,1948,2,0,100
3400800,-83.2574012,36.75230974,1580,11,3,72.72727273
3414000,-85.1394008,36.88395484,1119,10,0,100
3414002,-85.12963889,36.88405556,954,2,0,100
3417500,-85.5143938,36.5542507,2770,1,1,0
3418420,-85.94079609,36.2867558,2127,12,0,100
3430200,-86.6327739,36.1864446,5651,111,15,86.48648649
3431083,-86.699164,36.16394545,5948,10,2,80
3431514,-86.8283959,36.1889717,5596,8,0,100
3612600,-89.058404,37.17921867,2280,1,0,100
4057800,-87.8865238,46.49910267,492,1,0,100
4085108,-88.0922222,44.37194444,644,28,12,57.14285714
4087119,-88.0051111,43.0438333,1930,1,0,100
4087170,-87.8983333,43.02444444,3189,2,0,100
4121660,-85.4778209,43.61308,3566,9,1,88.88888889
4121680,-85.63060189,43.485857,3336,555,79,85.76576577
4121970,-85.6653239,43.43474558,4706,15,0,100
4137030,-83.57108839,44.47279328,2868,16,0,100
4157005,-83.951918,43.4219699,4446,6,1,83.33333333
4165500,-82.90881,42.5958674,4468,4,1,75
4166500,-83.2546513,42.3730923,4936,33,2,93.93939394
4168400,-83.2527063,42.30837099,2102,26,1,96.15384615
4183038,-84.8696944,41.1830833,1045,54,23,57.40740741
4183500,-84.7444033,41.19893889,1976,2,0,100
4188496,-83.6532653,40.9792203,2893,293,155,47.09897611
4193500,-83.7127145,41.5000526,717,31,0,100
4220045,-78.38638889,43.17430556,1534,44,14,68.18181818
4220223,-77.9152222,43.3390833,1544,1,0,100
5051522,-96.7959154,46.65968548,1512,4,0,100
5054000,-96.7836924,46.861075,5680,2,0,100
5057000,-98.0275954,47.43277097,3530,60,57,5
5062130,-96.8170556,47.0926944,1491,1,0,100
5114000,-101.9583348,48.98995719,1004,73,12,83.56164384
5117500,-101.3712745,48.2458428,1162,50,48,4
5124000,-100.9584889,48.9964079,1257,367,339,7.629427793
5406457,-89.6408333,43.1097222,2765,1,0,100
5406469,-89.635,43.12527778,931,4,0,100
5406479,-89.6641667,43.1147222,2063,10,0,100
5435943,-89.5394444,42.97694444,9218,39,1,97.43589744
5435950,-89.5441667,42.94916667,5354,5,0,100
5474500,-91.374318,40.39365535,920,6,1,83.33333333
5515500,-86.7061667,41.38963889,3686,12,5,58.33333333
5524500,-87.3066912,40.87059306,3020,2,1,50
5537980,-88.0836944,41.5364722,2452,20,10,50
5545750,-88.225923,42.61085116,915,11,1,90.90909091
5549500,-88.2514745,42.3100222,1185,72,12,83.33333333
5558300,-89.3562222,41.10727778,1949,8,3,62.5
5559900,-89.5495396,40.72503739,451,10,1,90
5567500,-89.2416667,40.6235,730,43,22,48.8372093
5586300,-90.6076667,39.63275,4290,6,0,100
5599490,-89.3277778,37.7583333,2013,232,169,27.15517241
6354890,-103.3069613,45.9524438,422,53,1,98.11320755
6354980,-103.2919615,46.0177216,413,112,16,85.71428571
6711565,-105.004149,39.66498738,5854,11,0,100
6800500,-96.2838889,41.2933333,3352,8,3,62.5
6801000,-96.3245139,41.06225556,983,1,1,0
6805000,-96.3386111,41.05166667,3209,49,8,83.67346939
6805500,-96.1575,41.01497778,3283,5,0,100
6818000,-94.8568333,39.75325,5079,18,7,61.11111111
6819550,-94.7722222,40.4311111,478,26,18,30.76923077
6856600,-97.1275203,39.3555515,2014,1,0,100
6879150,-96.7133394,39.0902755,512,1,0,100
6888990,-95.7163715,39.07194435,2040,2,0,100
6889110,-95.9760556,39.6095472,962,23,6,73.91304348
6889160,-95.9505944,39.4631449,1378,5,0,100
6892518,-94.7894444,39.0461111,2762,7,1,85.71428571
6892900,-94.6560139,39.0440833,282,11,1,90.90909091
6893620,-94.4722222,39.11194444,1916,13,2,84.61538462
6893820,-94.3872778,39.0173611,5282,7,2,71.42857143
6894650,-94.0638889,39.1336111,462,4,1,75
6899900,-93.2863889,40.45444444,744,6,1,83.33333333
6900050,-93.4362222,40.0266111,458,2,0,100
6902000,-93.2736944,39.64002778,365,4,2,50
6914950,-94.977188,38.75334168,317,24,17,29.16666667
6914990,-94.8794073,38.7675084,346,35,7,80
6934500,-91.4385,38.70980556,4883,7,4,42.85714286
7048600,-94.0811111,36.07305556,2504,7,0,100
7049691,-93.8472222,36.4208333,2911,70,23,67.14285714
7054501,-92.575,36.365,3213,45,0,100
7054527,-92.5741667,36.3436111,3282,7,6,14.28571429
7061270,-90.8424444,37.55255556,5688,4,3,25
7061290,-90.8383333,37.4936111,5499,124,38,69.35483871
7075270,-92.6219444,35.5697222,4547,25,1,96
7076000,-91.9972222,35.5172222,4047,4,0,100
7099400,-104.718033,38.2716694,2589,316,68,78.48101266
7109500,-104.3991356,38.24805799,5506,1,0,100
7143672,-97.5405417,38.02853056,1510,9,3,66.66666667
7144100,-97.4244864,37.88306739,1910,6,2,66.66666667
7164500,-96.0063866,36.14064807,3437,13,0,100
7177500,-95.954162,36.27842534,5488,1,0,100
7178200,-95.8194322,36.2231514,2208,1,0,100
7198000,-95.0688458,35.5731511,3945,175,28,84
7239000,-98.59675,36.07698408,1259,205,22,89.26829268
7239450,-98.0653316,35.6169933,4379,33,6,81.81818182
7241000,-97.6633752,35.47866848,3530,191,43,77.48691099
7241520,-97.367258,35.5656147,3370,106,14,86.79245283
7241550,-97.1939194,35.5003412,3467,179,35,80.44692737
7263296,-92.6855556,34.87888889,5847,429,83,80.65268065
7288068,-90.6249444,34.07475,746,71,52,26.76056338
7288150,-90.7560833,34.0093333,631,144,53,63.19444444
7288500,-90.5431579,33.5473557,698,17,10,41.17647059
7288521,-90.6723611,33.54825,167,15,10,33.33333333
7332605,-96.1557444,33.57579444,751,116,70,39.65517241
7332622,-95.9611111,33.74416667,4532,59,14,76.27118644
7380255,-89.9864083,29.57673333,1181,104,14,86.53846154
8047050,-97.4472422,32.6951316,606,19,12,36.84210526
8048000,-97.3325167,32.76096337,2860,284,35,87.67605634
8049500,-96.9944444,32.7625,5386,7,2,71.42857143
8052700,-96.8927805,33.28344977,4566,329,104,68.38905775
8052745,-96.8919565,33.219298,4477,58,20,65.51724138
8057000,-96.8219464,32.7748517,2296,10,6,40
8057410,-96.7358319,32.70763139,2339,25,12,52
8065350,-95.6563407,31.33851319,5032,16,9,43.75
8068000,-95.4571616,30.24465738,3771,13,3,76.92307692
8068500,-95.4363275,30.11049517,5548,11,0,100
8069500,-95.2579888,30.02716385,5070,204,31,84.80392157
8070200,-95.1246139,30.14523056,5762,30,5,83.33333333
8181500,-98.4908493,29.2641276,6050,22,11,50
8181800,-98.3558463,29.2221853,6030,29,13,55.17241379
8188060,-97.7371389,28.84869444,4399,3,0,100
8188500,-97.3848583,28.6492861,1812,1,1,0
8211200,-97.7758308,27.93779594,5656,2,1,50
8371500,-104.4810367,29.6210127,1891,109,44,59.63302752
8374200,-104.2865896,29.51962973,3477,67,17,74.62686567
8374510,-103.5977778,29.1547222,2450,50,17,66
8375300,-102.9754409,29.1835386,4060,118,44,62.71186441
8377200,-101.7559523,29.78075694,4317,52,15,71.15384615
8412500,-103.8315949,31.87264499,2539,404,38,90.59405941
8437710,-103.0059908,31.3668055,4166,1335,67,94.98127341
8446500,-102.4176419,31.11320329,3716,1676,55,96.71837709
8447000,-101.7701244,30.65961373,4216,18,5,72.22222222
8474115,-97.4215,25.95733333,337,10,1,90
8474320,-97.3754167,25.95666667,234,26,0,100
9037500,-106.1803667,40.0002,607,1,1,0
9041400,-106.4139212,40.10859628,6020,7,0,100
9095500,-108.2661946,39.2391463,1500,2,0,100
9379500,-109.8666889,37.15067778,1030,2,0,100
9406000,-113.1807789,37.2041494,6013,2,1,50
10129900,-111.4760313,40.73522634,5719,159,0,100
11044000,-117.1422536,33.4739175,4425,11,1,90.90909091
11092450,-118.466749,34.16167247,441,20,0,100
11126400,-120.025361,34.5901111,4867,26,12,53.84615385
11128500,-120.1445926,34.58498706,3748,298,6,97.98657718
11152880,-121.2759028,37.04368056,89,4,0,100
11152900,-121.327431,37.0499451,223,9,0,100
11153000,-121.3802778,36.98,195,2,0,100
11273400,-120.9761777,37.3472151,5066,21,13,38.0952381
11509370,-121.9288769,42.12788298,1861,303,169,44.22442244
12507573,-120.0919944,46.2852222,475,2,0,100
14078260,-120.0433056,44.062,181,3,0,100
14151000,-122.774794,43.94429299,1347,1,0,100
14202650,-123.125,45.44064167,2232,374,277,25.93582888
14206950,-122.7548185,45.403452,2825,16,9,43.75
21474095,-80.8935,34.55801667,2233,8,1,87.5
23432415,-85.0591667,31.62219444,4448,762,150,80.31496063
40871488,-87.9523333,42.99025,976,10,0,100
50048565,-66.118083,18.4070314,2893,14,3,78.57142857
50048580,-66.1160552,18.4201918,2331,1483,734,50.50573163
72632966,-92.6538889,34.87527778,5492,91,25,72.52747253
135749950,-73.7104167,42.78569444,1327,4,1,75
164579522,-77.32933889,38.9256,1255,3,2,33.33333333
212378405,-80.0618056,35.20066667,2929,70,1,98.57142857
212880025,-79.8775806,34.9834833,2885,29,1,96.55172414
214244102,-81.08915,35.75719444,2139,1,0,100
343233905,-86.8428894,35.89984185,3255,1,0,100
1043110325021_,142.275,43.7631,4211,9,7,22.22222222
1043110332180_,141.6597,42.8325,1535,11,3,72.72727273
1043110332210_,141.355,43.0378,2754,162,112,30.86419753
1363121256010_,139.8489,38.7736,2199,15,3,80
401011281104040_,142.335,44.4814,1957,29,14,51.72413793
401031281101050_,141.525,43.135,2259,263,114,56.6539924
401031281104010_,142.4258,43.8181,1853,18,11,38.88888889
401061281105020_,141.9367,42.5733,2668,66,20,69.6969697
401081281107070_,143.2033,42.9344,2514,72,38,47.22222222
401081281107090_,143.5117,42.8078,2097,5,0,100
401101281108051_,144.2189,43.9906,3000,461,337,26.89804772
402011282206020_,140.7628,37.9217,2614,70,43,38.57142857
402011282218040_,140.4094,37.4081,1173,7,1,85.71428571
402011282218070_,140.4731,37.7272,3529,7,1,85.71428571
402011282218090_,140.6428,37.8933,2592,23,11,52.17391304
402011282228040_,140.5247,37.4242,3445,17,2,88.23529412
402011282228070_,140.4864,37.3972,3529,7,1,85.71428571
402011282228160_,140.4908,37.4142,3679,17,1,94.11764706
402021282206050_,140.9094,38.2156,1081,31,1,96.77419355
402031282207080_,141.0058,38.5311,2815,46,7,84.7826087
402031282207090_,141.1386,38.4156,2941,43,8,81.39534884
402041282204010_,141.1614,39.835,2504,6,4,33.33333333
402041282204050_,141.175,39.5514,5042,44,25,43.18181818
402041282204090_,141.1272,39.1967,6096,33,7,78.78787879
402041282204110_,141.1817,38.95,4088,64,16,75
402041282207090_,141.2489,38.5,2986,36,14,61.11111111
402041282220220_,141.1614,39.835,642,2,2,0
402051282201010_,141.4281,40.4861,4064,62,43,30.64516129
402071282201010_,140.4142,40.5922,2055,10,2,80
402071282201080_,140.4375,40.8078,5371,116,55,52.5862069
402081282211040_,140.2336,40.1978,2216,44,14,68.18181818
402091282209020_,140.1558,39.6144,2344,11,1,90.90909091
402101282209020_,140.0697,39.3536,2629,7,1,85.71428571
402111282214070_,140.3261,38.4203,2478,5,0,100
402111282216010_,140.2731,38.6642,2937,10,1,90
403011283322030_,140.5544,36.4964,1765,4,2,50
403021283322090_,140.4086,36.4594,5124,41,8,80.48780488
403031283301050_,139.4725,36.1725,2356,46,23,50
403031283301060_,139.7047,36.1433,1420,22,5,77.27272727
403031283301222_,139.6786,36.2114,1308,12,6,50
403031283302041_,140.135,35.8564,1203,2,1,50
403031283302051_,140.1617,35.8422,1043,506,70,86.16600791
403031283302091_,140.5028,35.8997,82,6,3,50
403031283302231_,140.0244,35.8586,961,12,11,8.333333333
403031283303010_,140.3397,36.1392,2199,61,48,21.31147541
403031283303071_,140.4039,36.0378,1143,7,5,28.57142857
403031283303091_,140.4889,35.9647,835,23,1,95.65217391
403031283303100_,140.5503,35.935,2753,24,7,70.83333333
403031283303160_,140.5286,36.1231,1856,31,13,58.06451613
403031283303181_,140.565,36.0167,1342,15,8,46.66666667
403031283303191_,140.6097,35.9622,1296,6,2,66.66666667
403031283305030_,139.8911,35.8458,1298,2,0,100
403031283305120_,139.8419,35.8478,2144,19,6,68.42105263
403031283305140_,139.8506,35.7786,1787,77,15,80.51948052
403031283305470_,139.8928,35.7981,282,278,244,12.23021583
403031283306041_,139.4531,36.3269,2769,71,32,54.92957746
403031283307130_,139.9983,36.2475,1046,2,0,100
403031283323030_,139.1203,36.2794,1978,48,17,64.58333333
403041283309010_,139.6469,35.8003,2593,301,121,59.80066445
403051283310040_,139.3475,35.6969,1695,45,34,24.44444444
403051283310050_,139.4197,35.6792,2386,427,389,8.899297424
403051283310100_,139.6375,35.6022,45,10,8,20
