file_name,total_hours,hypoxia_hours,hypoxia_fraction,latitude,longitude,lc5_point,lc5_name,lc5_dom_2km,lc5_dom_name_2km,p_urban_2km,p_crop_2km,p_other_2km,p_wetland_2km,p_natural_2km,human_share,human_impacted,landuse_group
14162450,15240,0,0,44.1233611,-122.3787222,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
14162500,42048,0,0,44.1248487,-122.47062,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
14163000,32520,0,0,44.1460861,-122.5730333,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
14163900,35472,0,0,44.0698492,-122.7711874,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
14164550,35472,0,0,44.07066667,-122.8846667,2,Cropland,1,Natural vegetation,0.25,0.25,0,0,0.5,0.5,TRUE,Natural-dominated
14181500,76176,0,0,44.75377778,-122.2974444,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
14182500,36216,0,0,44.7915108,-122.5789738,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
14183020,34800,0,0,44.7782222,-122.6777222,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
14185000,2040,0,0,44.39179225,-122.4975817,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
14185900,2016,0,0,44.54012357,-122.4359155,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
14186200,10680,0,0,44.44818005,-122.5503613,1,Natural vegetation,1,Natural vegetation,0,0,0.25,0,0.75,0,FALSE,Natural-dominated
14187200,10632,0,0,44.4123468,-122.6886956,1,Natural vegetation,1,Natural vegetation,0.25,0,0,0,0.75,0.25,FALSE,Natural-dominated
14187500,10536,0,0,44.4984564,-122.8234214,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
14202980,145032,0,0,45.46927968,-123.200109,5,Other,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
14203500,40464,0,0,45.4748365,-123.124274,2,Cropland,1,Natural vegetation,0,0.5,0,0,0.5,0.5,TRUE,Ag-dominated
14206241,30888,0,0,45.50011635,-122.9912157,2,Cropland,2,Cropland,0.5,0.5,0,0,0,1,TRUE,Urban-dominated
14206694,73896,0,0,45.40150659,-122.8951003,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
14207200,67464,0,0,45.35650877,-122.6850937,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
14209700,28944,0,0,45.14762079,-122.1531366,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
14209710,144960,0,0,45.16706506,-122.1561923,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
14210000,140880,0,0,45.29984346,-122.3539746,1,Natural vegetation,1,Natural vegetation,0.25,0,0,0,0.75,0.25,FALSE,Natural-dominated
14211010,143640,0,0,45.3792874,-122.5773134,3,Urban,1,Natural vegetation,0.5,0,0,0,0.5,0.5,TRUE,Urban-dominated
1427207,30576,0,0,41.86727778,-75.21375,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
1427510,39024,0,0,41.75675,-75.0574167,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
14316460,123696,0,0,43.3059544,-122.5128232,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
14317450,131280,0,0,43.324563,-122.9997836,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
1433005,44856,0,0,41.56727778,-74.78327778,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
1433500,93552,0,0,41.4612222,-74.75877778,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
1438500,39384,0,0,41.30916667,-74.79527778,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
1454700,73200,0,0,40.6692656,-75.23628808,3,Urban,3,Urban,0.75,0,0,0,0.25,0.75,TRUE,Urban-dominated
1458500,76824,0,0,40.5261111,-75.065,3,Urban,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
14670261,49368,0,0,40.0385,-74.9936111,5,Other,3,Urban,0.75,0,0.25,0,0,0.75,TRUE,Urban-dominated
1467042,2280,0,0,40.0897334,-75.0690517,3,Urban,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
1467048,2280,0,0,40.0500115,-75.0326619,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
1467086,2280,0,0,40.04261157,-75.1121191,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
1467200,73080,0,0,39.946402,-75.1393603,5,Other,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
1473500,85368,0,0,40.11555556,-75.3561111,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
1474000,20328,0,0,40.0152903,-75.2068343,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
1474500,2208,0,0,39.9677908,-75.1885007,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
1475530,40296,0,0,39.9747355,-75.2798924,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
1480617,106128,0,0,39.9617734,-75.8013341,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
1480870,109368,0,0,39.9687191,-75.6732715,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
1481000,113040,0,0,39.8698328,-75.5932623,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
1481500,143712,0,0,39.7695,-75.5766944,3,Urban,3,Urban,0.666666667,0,0,0,0.333333333,0.666666667,TRUE,Urban-dominated
1487165,3648,0,0,38.6863611,-75.6176944,2,Cropland,2,Cropland,0,0.75,0,0,0.25,0.75,TRUE,Ag-dominated
1491000,13320,0,0,38.99719444,-75.7858056,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
15008000,38064,0,0,56.025815,-130.0669823,1,Natural vegetation,1,Natural vegetation,0,0,0,0.25,0.75,0,FALSE,Natural-dominated
15015595,31512,0,0,56.2402062,-130.8819864,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
15024800,34176,0,0,56.7079243,-132.1319708,5,Other,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
15041200,43344,0,0,58.53829828,-133.7017432,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
15319015,696,0,0,41.71691667,-76.6668056,1,Natural vegetation,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
1540008,10008,0,0,40.95399444,-76.4679944,5,Other,1,Natural vegetation,0,0.5,0,0,0.5,0.5,TRUE,Ag-dominated
1542500,71256,0,0,41.11755906,-78.108896,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
1544500,74976,0,0,41.47583829,-77.82580078,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
1548030,360,0,0,40.9804722,-77.48277778,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
1549700,70488,0,0,41.273683,-77.32414028,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
1552044,3792,0,0,54.15556,-1.349187,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
1573208,14208,0,0,40.32223889,-76.6293944,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
1573660,39672,0,0,40.1533333,-76.7555556,3,Urban,5,Other,0,0.25,0.5,0,0.25,0.25,FALSE,Mixed
1573684,7440,0,0,40.22519444,-76.55452778,2,Cropland,2,Cropland,0,0.75,0,0,0.25,0.75,TRUE,Ag-dominated
1573816,1032,0,0,39.87805556,-77.10077778,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
1575598,42312,0,0,40.0522222,-76.6544444,3,Urban,2,Cropland,0,0.5,0.25,0,0.25,0.5,TRUE,Ag-dominated
1575900,31440,0,0,40.0628745,-76.5155214,2,Cropland,2,Cropland,0.5,0.5,0,0,0,1,TRUE,Urban-dominated
