site_id,total_days,hypoxia_day_count,lat_wgs84,lon_wgs84,percent,Class
ARG00005,210,0,-34.31555556,-58.50111111,0,0
412005,1315,100,-33.869444,144.881111,7.604562738,1
425007,3751,78,-33.743216,142.271015,2.079445481,0
203004,,0,-33.59805556,-70.37722222,0,0
CHL00002,,0,-33.59805556,-70.37722222,0,0
412039,1315,62,-33.487222,145.503889,4.714828897,0
412004,1185,300,-33.4108,147.9914,25.3164557,1
203003,,0,-33.37291235,-70.44791273,0,0
CHL00001,,0,-33.37138889,-70.44805556,0,0
412011,1310,211,-33.201111,146.453333,16.10687023,1
412006,1310,59,-33.091,147.1482,4.503816794,0
ARG00004,48,1,-32.8269,-60.6948,2.083333333,0
425012,523,28,-32.435278,142.379722,5.353728489,1
203010,32,0,-31.38479337,-57.98086891,0,0
URY00003,32,0,-31.38305556,-57.98,0,0
BRA00100,14,0,-30.974444,-54.687222,0,0
425004,1120,131,-30.533181,145.113718,11.69642857,1
BRA00103,48,0,-30.384722,-56.465556,0,0
URY00004,32,0,-30.24944444,-57.61277778,0,0
203011,32,0,-30.24753284,-57.61399425,0,0
425003,1308,282,-30.087342,145.936757,21.55963303,1
BRA00111,11,0,-30.030556,-51.251944,0,0
422001,1086,254,-30.015107,148.067833,23.38858195,1
204001,1661,25,-29.978564,152.724856,1.505117399,0
422002,1128,303,-29.948449,146.867852,26.86170213,1
BRA00008,59,0,-29.941111,-51.680556,0,0
BRA00109,10,0,-29.835,-51.366389,0,0
BRA00102,54,0,-29.748611,-57.089167,0,0
BRA00110,35,2,-29.730556,-51.083333,5.714285714,1
422003,1119,247,-29.5469,148.5767,22.07327971,1
BRA00108,28,0,-29.363056,-50.521389,0,0
BRA00101,68,2,-29.309167,-56.054722,2.941176471,0
BRA00107,29,0,-28.783611,-49.981944,0,0
BRA00106,22,0,-28.720278,-52.849722,0,0
416317A,44,5,-28.59855556,151.8886111,11.36363636,1
416415A,56,7,-28.57155,150.8455333,12.5,1
BRA00096,35,0,-28.439444,-50.301944,0,0
422204A,56,3,-28.43143333,148.2696,5.357142857,1
416402C,51,4,-28.41806111,151.0694417,7.843137255,1
422394A,72,1,-28.37139167,152.1415417,1.388888889,0
145010A,86,0,-28.245303,152.890705,0,0
422313B,71,2,-28.228888,152.227221,2.816901408,0
145018A,68,0,-28.219647,152.608453,0,0
145020A,44,0,-28.215478,152.867944,0,0
422310C,82,4,-28.21430556,152.0485278,4.87804878,0
146012A,50,1,-28.1787,153.4237,2,0
422306A,71,3,-28.16469,152.283525,4.225352113,0
146095A,51,1,-28.1497,153.4025,1.960784314,0
423202C,46,5,-28.116875,145.6866028,10.86956522,1
145008A,79,0,-28.070811,152.927328,0,0
BRA00098,11,0,-28.046111,-54.085278,0,0
422319B,50,1,-28.0352495,152.0142994,2,0
146010A,71,1,-28.02583333,153.1927778,1.408450704,0
146002B,68,3,-27.999981,153.310037,4.411764706,0
422355A,44,2,-27.99005833,151.7576111,4.545454545,0
422334A,71,8,-27.92672,151.86042,11.26760563,1
145102B,70,2,-27.909154,153.106498,2.857142857,0
BRA00099,12,0,-27.879167,-55.055278,0,0
422323A,45,1,-27.8699,151.510508,2.222222222,0
145014A,52,0,-27.833618,152.987672,0,0
ARG00002,221,1,-27.66666667,-58.43777777,0.452488688,0
143108A,85,6,-27.663774,152.700012,7.058823529,1
143107A,68,11,-27.601912,152.693968,16.17647059,1
143203C,71,2,-27.54228,152.1145,2.816901408,0
422316A,44,5,-27.5336733,151.2032948,11.36363636,1
422326A,69,2,-27.51729722,151.9411917,2.898550725,0
422332B,65,1,-27.4706111,151.7407528,1.538461538,0
143210B,44,0,-27.4536,152.517,0,0
143001C,92,1,-27.439727,152.668941,1.086956522,0
ARG00012,44,0,-27.43333333,-57.33333333,0,0
142202A,53,1,-27.34644444,152.9237472,1.886792453,0
422213A,49,2,-27.31853333,148.8257333,4.081632653,0
422350A,80,3,-27.30339444,151.2779722,3.75,0
422333A,51,7,-27.22510556,151.1857306,13.7254902,1
BRA00097,142,0,-27.173611,-53.229167,0,0
143921A,47,7,-27.13607222,152.3300167,14.89361702,1
142001A,89,8,-27.0978,152.8906,8.988764045,1
143009A,63,3,-26.98946,152.405221,4.761904762,0
143010B,54,1,-26.97710556,152.2856583,1.851851852,0
BRA00105,36,2,-26.918056,-49.065278,5.555555556,1
141010A,46,1,-26.877529,153.00411,2.173913043,0
143007A,43,0,-26.8042,152.273,0,0
422308C,58,3,-26.8001,150.57495,5.172413793,1
141006A,70,21,-26.76135955,152.9822091,30,1
138120A,58,0,-26.759133,152.8730414,0,0
141008A,68,0,-26.66189694,153.0185323,0,0
138110A,97,1,-26.62740743,152.7046355,1.030927835,0
141003C,67,0,-26.62270615,152.9584324,0,0
141001B,60,0,-26.58957031,152.9040222,0,0
141004B,62,3,-26.56213227,152.9392369,4.838709677,0
138111A,80,0,-26.52614175,152.7439201,0,0
136301B,60,2,-26.50130572,151.7712032,3.333333333,0
141009A,75,22,-26.49453884,152.9615794,29.33333333,1
136209A,79,6,-26.47004314,152.0575293,7.594936709,1
138113A,75,7,-26.38988703,152.6446891,9.333333333,1
138102C,82,1,-26.3654542,152.6201768,1.219512195,0
138107B,78,18,-26.33062238,152.8136828,23.07692308,1
138003D,76,6,-26.21617591,152.5215599,7.894736842,1
136304A,51,0,-26.1816336,151.5460502,0,0
138007A,77,0,-26.16946476,152.6008013,0,0
BRA00089,3,0,-26.165278,-51.227778,0,0
138010A,69,1,-26.07941476,152.2191617,1.449275362,0
138009A,68,7,-26.07732958,152.7838197,10.29411765,1
140002A,80,0,-26.0571685,153.0426495,0,0
138002C,62,3,-26.00538295,152.4115021,4.838709677,0
138001A,84,0,-25.95332924,152.4956601,0,0
ARG00001,79,0,-25.9183,-54.6216666,0,0
138004B,91,2,-25.90308211,152.3491138,2.197802198,0
136208A,82,19,-25.90278632,151.8438363,23.17073171,1
138903A,76,1,-25.82033498,152.722162,1.315789474,0
136319A,65,1,-25.78592226,151.3328367,1.538461538,0
138014A,81,1,-25.76832547,152.5273595,1.234567901,0
130324A,91,0,-25.74473,149.32991,0,0
136207A,86,1,-25.71077157,151.8083241,1.162790698,0
136305A,88,0,-25.6814991,151.0076804,0,0
130302A,113,9,-25.63772222,149.7895833,7.96460177,1
BRA00090,70,0,-25.627778,-54.480556,0,0
136017B,100,0,-25.62154942,151.6036895,0,0
136094A,101,2,-25.59482836,151.2973562,1.98019802,0
BRA00087,36,0,-25.55,-54.583056,0,0
136002D,124,1,-25.54471212,151.6549444,0.806451613,0
BRA00088,158,3,-25.440833,-49.118333,1.898734177,0
136106A,115,5,-25.40225205,151.1032719,4.347826087,0
137201A,64,0,-25.26655416,152.3684384,0,0
137103A,51,3,-25.15343652,152.3915743,5.882352941,1
136101C,43,0,-25.12890304,151.1306622,0,0
137101A,69,27,-25.08624773,152.2404558,39.13043478,1
136112A,68,3,-24.99231316,151.3473608,4.411764706,0
137001B,69,2,-24.98844494,152.3758122,2.898550725,0
137003A,53,7,-24.97237411,152.4214666,13.20754717,1
135004A,58,1,-24.96863311,151.8918597,1.724137931,0
130317B,94,1,-24.83211111,149.975,1.063829787,0
135002A,76,2,-24.75334711,151.5871724,2.631578947,0
134001B,78,2,-24.51363146,151.7362803,2.564102564,0
BRA00104,169,0,-24.489167,-47.834722,0,0
130327A,50,1,-24.106457,150.287185,2,0
130306B,62,6,-24.09627778,150.1145833,9.677419355,1
130322A,84,1,-24.08827,149.82191,1.19047619,0
BRA00086,71,1,-24.066667,-54.25,1.408450704,0
132001A,75,0,-23.98498333,151.0975639,0,0
130209A,47,1,-23.88485,147.75721,2.127659574,0
130004A,83,3,-23.81911544,150.8206288,3.614457831,0
130335A,57,0,-23.76571,150.35794,0,0
BRA00081,131,2,-23.591111,-48.494444,1.526717557,0
130003B,77,0,-23.57636111,149.9378333,0,0
120305A,51,3,-23.57570667,146.6743528,5.882352941,1
BRA00078,131,32,-23.565,-46.015833,24.42748092,1
BRA00079,64,63,-23.521667,-46.631111,98.4375,1
130219A,112,1,-23.48155556,148.4726667,0.892857143,0
130206A,70,2,-23.42923889,148.1513806,2.857142857,0
BRA00085,83,0,-23.324444,-52.665278,0,0
130005A,108,2,-23.08897222,150.1071389,1.851851852,0
BRA00082,87,1,-22.998333,-49.9075,1.149425287,0
BRA00002,70,0,-22.843611,-45.251111,0,0
129001A,74,1,-22.835,150.6659444,1.351351351,0
BRA00005,70,0,-22.808333,-43.611944,0,0
BRA00073,85,1,-22.657222,-43.664167,1.176470588,0
130401A,93,0,-22.65658355,149.1157774,0,0
BRA00083,87,0,-22.597222,-52.874444,0,0
BRA00006,91,1,-22.536389,-44.175,1.098901099,0
130404A,73,0,-22.33591667,148.9484722,0,0
BRA00084,66,1,-21.878333,-53.893889,1.515151515,0
BRA00080,131,0,-21.758611,-48.994167,0,0
BRA00095,44,9,-21.700278,-57.891111,20.45454545,1
120301B,79,5,-21.533111,146.859645,6.329113924,1
125005A,57,0,-21.3228,148.8351167,0,0
126001A,50,1,-21.2832888,149.0225055,2,0
120303A,66,10,-21.22904875,146.9133949,15.15151515,1
125013A,49,0,-21.1419083,149.0758388,0,0
125006A,56,0,-21.1120083,148.6353722,0,0
120302B,83,5,-20.99956331,146.4271187,6.024096386,1
120015A,67,0,-20.626996,147.16528,0,0
BRA00053,55,0,-20.3325,-46.467778,0,0
BRA00094,41,4,-20.241111,-56.399722,9.756097561,1
BRA00068,53,0,-20.219444,-42.752222,0,0
BRA00077,40,0,-20.167778,-48.688333,0,0
BRA00012,48,0,-20.016944,-43.828333,0,0
BRA00011,42,0,-20.016667,-44.366667,0,0
120002C,98,2,-20.006269,146.439048,2.040816327,0
120006B,89,1,-19.75856,147.24362,1.123595506,0
BRA00054,67,43,-19.714167,-43.845,64.17910448,1
119101A,82,2,-19.69072778,147.169825,2.43902439,0
913006A,47,1,-19.6878,139.3607,2.127659574,0
120106B,43,1,-19.681297,145.5402992,2.325581395,0
119003A,97,2,-19.63313611,147.1102778,2.06185567,0
BRA00070,25,0,-19.411944,-40.065556,0,0
118003A,67,12,-19.31789167,146.7025667,17.91044776,1
117002A,44,2,-19.23771042,146.6328656,4.545454545,0
120110A,72,1,-19.20732678,145.4950361,1.388888889,0
117003A,56,0,-19.18330833,146.5469361,0,0
BRA00069,44,0,-19.179167,-41.466389,0,0
917115A,48,0,-19.08491418,144.1685157,0,0
BRA00076,46,0,-19.050278,-50.503333,0,0
BRA00093,47,5,-18.988333,-57.659167,10.63829787,1
912105A,52,0,-18.96943611,138.8040917,0,0
116017A,45,2,-18.7664666,145.9498333,4.444444444,0
912101A,41,0,-18.64189167,139.2523694,0,0
917106A,46,1,-18.50016111,144.0958528,2.173913043,0
913007B,43,0,-18.23299062,139.8786758,0,0
116010A,56,1,-18.2042,145.5371,1.785714286,0
917001D,55,0,-18.20250277,142.8760139,0,0
116004C,50,1,-18.1926,145.3321,2,0
915003A,60,0,-18.161675,140.8582,0,0
917107A,75,0,-18.13355555,144.3064833,0,0
BRA00065,54,0,-18.12,-43.516667,0,0
114001A,63,1,-18.10691667,145.8053611,1.587301587,0
116012A,47,0,-18.067,145.3399,0,0
113006A,107,0,-17.99213889,145.9424722,0,0
916001B,55,2,-17.86002452,141.1287261,3.636363636,0
116015A,45,1,-17.7371,145.4363,2.222222222,0
116013A,45,0,-17.6523,145.3409,0,0
116014A,42,0,-17.6266,145.2959,0,0
112101B,55,1,-17.60888889,145.9790556,1.818181818,0
112002A,52,0,-17.56531666,145.9062167,0,0
112004A,75,1,-17.54563889,145.9325278,1.333333333,0
111101D,68,1,-17.38595,145.9672667,1.470588235,0
112003A,53,0,-17.3808,145.6509,0,0
110021A,46,0,-17.33747,145.51268,0,0
BRA00040,12,0,-17.301944,-53.216667,0,0
110019B,52,0,-17.26313889,145.5768611,0,0
110003A,61,0,-17.25911111,145.5385833,0,0
110018A,58,0,-17.22863889,145.54825,0,0
919311A,54,0,-17.18124444,144.8990889,0,0
110017A,63,0,-17.13433333,145.5981667,0,0
111007A,57,0,-17.13336111,145.7645556,0,0
919310A,54,0,-16.9823,144.2887028,0,0
110104A,44,0,-16.94208333,145.6951389,0,0
110001D,74,0,-16.79983333,145.6121111,0,0
BRA00075,29,7,-16.741389,-49.143333,24.13793103,1
919005A,59,1,-16.67908,145.22862,1.694915254,0
BRA00066,54,0,-16.596667,-41.756944,0,0
919014A,41,2,-16.563052,144.889665,4.87804878,0
919309A,63,0,-16.54691172,143.7828436,0,0
919011A,84,0,-16.53453993,143.6772405,0,0
918003A,50,0,-16.53148843,142.0596789,0,0
919013A,78,0,-16.49775,145.00174,0,0
919003A,50,0,-16.47082528,144.2893509,0,0
109001A,47,0,-16.4552,145.3702,0,0
108008A,54,0,-16.390311,145.337975,0,0
108002A,59,0,-16.179607,145.281892,0,0
919201A,63,2,-16.1076,144.77766,3.174603175,0
919204A,71,1,-16.04033677,143.0378315,1.408450704,0
BRA00067,12,0,-15.946944,-39.558889,0,0
BRA00092,67,0,-15.870278,-56.076667,0,0
BRA00036,11,0,-15.848611,-48.927222,0,0
105105A,53,2,-15.76799,145.01297,3.773584906,0
BRA00063,48,0,-15.702778,-42.171944,0,0
107003A,51,0,-15.687795,145.208518,0,0
105102A,41,2,-15.61372,144.48477,4.87804878,0
107001B,43,0,-15.42479,145.06586,0,0
BRA00042,31,0,-15.313611,-54.175556,0,0
105101A,59,4,-15.2816,144.8387,6.779661017,1
BRA00021,13,0,-15.215556,-59.353611,0,0
BRA00041,12,0,-14.926667,-51.109444,0,0
BRA00055,31,0,-14.75,-43.93,0,0
BRA00091,103,1,-14.541944,-55.8475,0.970873786,0
922101B,42,0,-13.955092,143.174689,0,0
BRA00062,12,1,-13.871111,-40.215556,8.333333333,1
BRA00028,24,0,-13.558611,-55.268056,0,0
BRA00027,21,0,-13.552222,-59.035,0,0
BRA00061,12,0,-12.603056,-38.980833,0,0
BRA00004,73,1,-12.587778,-39,1.369863014,0
925001A,56,0,-12.454008,142.639199,0,0
BRA00060,12,1,-12.421944,-41.389167,8.333333333,1
BRA00043,12,0,-12.291667,-50.963056,0,0
